"13D_NCI-H1395_3"	"14D_NCI-H1435_3"	"23D_NCI-H1666_3"	"41D_NCI-H2122_3"	"15D_NCI-H1437_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"33D_NCI-H1975_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"	"02D_A549_3"	"40D_NCI-H2087_3"	"52D_NCI-H460_2"	"25D_NCI-H1703_2"	"04D_Calu1_2"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"49D_NCI-H292_2"	"08D_HCC4006_3"	"43D_NCI-H2228_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"26D_NCI-H1734_3"	"55D_NCI-H820_3"	"20D_NCI-H1648_3"	"31D_NCI-H1838_3"	"47D_NCI-H2347_3"	"35D_NCI-H2009_3"	"54D_NCI-H522_3"	"53D_NCI-H520_2"	"39D_NCI-H2085_3"	"19D_NCI-H1623_3"	"57D_PC9_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"12D_NCI-H1373_3"	"09D_HCC827_3"	"59D_SK-LU-1_3"	"30D_NCI-H1793_3"	"29D_NCI-H1792_3"	"56D_NCI-H838_3"	"06D_Calu6_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"05D_Calu3_3"	"24D_NCI-H1693_3"	"37D_NCI-H2030_3"	"48D_NCI-H2405_3"	"58D_RERF-LC-MS_3"	"27D_NCI-H1755_3"	"16D_NCI-H1563_3"	"18D_NCI-H1573_3"	"50D_NCI-H3122_3"	"38D_NCI-H2073_3"	"34D_NCI-H1993_3"	"46D_NCI-H2342_3"	"21D_NCI-H1650_3"	"42D_NCI-H2126_3"	"17D_NCI-H1568_3"
"ENSG00000178691.10"	0.909275616478183	0.965024544596111	0.275146530240577	0.792949532987924	0.742409607211707	0.869266616231066	0.548718107942352	1.12044958566258	0.589852369031601	0.74043246986152	1.00275938420263	0.685458218153373	0.445982733096482	0.488284797766967	0.533845043323779	0.677645169330025	0.212000717664419	0.233035384257217	0.472071352891046	0.518941813455397	0.661341611099418	1.0570272458372	0.924310087302506	0.936136097521672	0.551006536134389	0.624657001956242	0.663829619099147	0.679516508537199	0.782632880520356	0.876172758188069	1.34221106700489	1.1211685440149	1.0272061075845	1.01074392505444	1.12605448467272	1.04507205888195	0.906168594516018	0.778221377973957	0.802977353506939	0.819409113625454	1.16712594591478	1.0538788351877	0.589537716296581	0.704522106194702	0.944384307410637	0.870550889517266	0.767401502610479	1.0428808520047	0.73647703495768	0.844909973772626	0.842328074944765	1.13817528778533	0.924789537510021	0.964245932421403	0.852032175239838	0.878081344827925	1.3859046799664	1.01990004064221	0.880761005618973	0.847641135956499
"ENSG00000276234.4"	0.834353659186199	0.727401537385644	0.401356938273647	0.514639288844506	0.849381306363022	0.734874624303981	0.309535587258861	0.70721279517894	0.424026559949867	0.57148575964257	0.852356401881971	0.375975832036318	0.420142160060707	0.536966295491743	0.223523067145134	0.669534143589958	0.18959801803101	0.592583163067623	0.21882586027361	0.512243383864054	0.583363547094119	0.708882329437417	0.972988481894233	0.716788038872632	0.661978152523367	0.55303267713822	0.928951597716196	0.739335861360343	0.647018960731396	0.805373283908135	0.816624046364964	0.963699925082744	0.950355023629853	0.772288253008112	0.728413608699279	1.10052675537502	0.866909770003698	0.923813088385906	0.948899636486468	0.686007839682859	0.896301045676915	0.580643557950193	0.471085238183146	0.615458133953532	0.797248346207537	1.31707314290594	0.656537858597033	1.14667867634396	0.957734644779818	0.720763579277439	0.753341937770126	1.05082276513398	0.781622878381873	0.741015352425729	0.890099461610076	0.710779082426357	1.26880972469949	0.988404956280993	0.76860939929886	0.625516017572532
"ENSG00000131747.14"	0.551884234649006	0.665259598726558	0.330418044709059	0.69629643782023	0.509624308614134	0.617964824867538	0.840484684924343	0.977495595392641	0.535164488554346	0.965307896591378	1.1609411576451	0.695988548757575	0.847051643820036	0.673891024345523	0.604573573348762	0.331963851627744	0.453256758474004	0	0.636623364218577	0.575339891057376	0.633418370844964	0.691022717496791	0.616516979017191	0.630603368488479	0.740625011271589	0.438417904465015	0.608919989431382	0.696643338869943	0.925321863862869	0.673190049994473	0.76283559337294	1.28259181450935	1.19657575432678	1.1110005448152	1.28709475849681	1.08696537339854	0.819184015067847	0.92527514801151	0.95383503809248	0.750823072632085	0.879567816602803	0.81497889607188	0.61049637072026	0.580502938177941	1.1131280909824	1.50045075830594	0.553385519186699	1.11229322812113	0.754071513377873	0.898679413256488	0.829594384632838	0.949874999432169	0.810092322363349	0.558873712928332	0.901960913337482	0.564204057357414	1.0027075034874	0.571519943585717	0.546190885477689	0.808424913469863
"ENSG00000275700.4"	0.57019670809004	0.649381623026601	0.784158712114685	0.663859722401234	0.682970806715892	0.679427223626846	0.285213751029225	0.91907761877745	0.177787790847009	0.610674454286979	0.773596408330532	1.07105677531562	0.445982733096482	0.65331425790528	0.684238751119262	0.407165280731125	0.337795070911279	0.553826803638252	0.56209467335212	0.564577948601491	0.672046292797866	0.638244503407923	0.638602791383512	0.406079433308131	0.455066603807027	0.631924624532653	0.689390749956168	0.786488456843809	0.763235122688335	0.806366185225053	1.20266984058903	1.02259378947936	1.04598353281309	1.09410200737424	1.09313357540315	0.889711670875982	0.757814521666235	1.0457017480039	0.844304582470333	0.920286090405215	0.874998044820326	0.740516072724343	0.665017414657463	0.530448987317377	0.904268230825722	1.13288910483296	0.325363874739108	0.754161071595932	0.705212589147405	0.587615714728581	0.729530166574505	1.29728299966703	0.460436699686749	0.27099568923813	0.908820829448193	0.867103608852998	1.3386517166331	0.612610202830084	1.00811149971947	0.676302489478371
"ENSG00000136243.16"	0.737945718310605	0.628711430315311	1.04037557137536	0.788154002285487	0.464852996422684	0.719859851427533	0.770496327835894	0.947603363700435	0.553284986694377	0.670686597764999	0.854620914830707	0.659302389692194	0.557266212620327	0.750550249081865	0.776270356802641	0.330149436259175	0.427448338393915	0.198550875226045	0.751399458593051	0.698884117086083	1.11429486045226	0.728319181609337	0.921368285568961	0.287281650830441	0.762943239704586	0.652155129018439	1.20378074688642	0.111090223433195	0.359668955750496	0.841658754019476	0.864478822579518	1.07602064802738	0.878482987798575	1.03814774690635	1.06695529257023	0.670813582500443	0.557165040534561	0.93504896519937	0.98138799590121	0.875650158532039	0.979957709940004	0.24596961769454	0.810671939938681	0.529074196924	0.989641959629256	0.836040080928077	0.719927696688459	1.06245345549716	0.707910995515423	0.756750273072255	0.905713006317565	0.98404279341169	0.459832808441248	0.933879627712687	0.826737940053072	0.932614218292363	1.2019756058286	0.603982562233695	0.454102467204006	0.825987301810757
"ENSG00000143643.12"	0.737945718310605	0.866632434028688	0.852495987360484	1.12134918962359	0.631065689882615	0.583561700151353	0.999226088997014	0.920535286859298	0.634430495525553	0.840492076025806	0.960863429239816	0.887255552905676	0.80463674180312	0.604953711398128	0.533845043323779	0	0.337795070911279	0.522971716023139	0.472071352891046	0.596180732117737	0.196104758001871	0.57564308747243	0.922364549827083	0.54608037777675	0.635595691976919	0.388145704993084	0.866948904261339	0.601103239024576	0.400677980097229	0.923144482611149	0.744189047370019	0.899269662215077	1.02668568674002	1.09549857126245	0.729473590524724	0.501768035649236	0.738594721550723	0.797223507050329	0.355736723752437	0.746001496470814	0.815752759585948	0.305023522400123	0.598914242738936	0.252893911312075	0.498545627467343	1.09267547740254	0.967593709071394	1.0109784473594	0.685671593679702	0.594865734190544	0.678745382871358	1.01099816875004	0.971819465138696	0.948037979319428	0.832960310808207	1.15242108409098	1.26909889420436	0.341094744504543	0.949763287583862	1.03022353581233
"ENSG00000141627.13"	0.855900972741457	0.719669669709305	0.398974324552777	0.717227656110314	0.930468921431839	0.733020952670041	0.267692812262505	1.17541824912201	0.837155984898522	0.7242313668055	0.71273011575543	0.665018437377414	0.557266212620327	0.793374859791437	0.735430254936732	0.557839974526652	0.432870473982112	0.522971716023139	0.478159930329226	0.341959906834776	0.2439232514226	0.654543228429956	0.516882113898216	0.655817841138792	0.529163534554913	0.30329271132452	0.510068497071235	0.595207926675946	0.554312514709857	0.899693772556504	0.606168161332911	1.24498687001383	1.08069969218176	1.18886974430879	0.629973207697509	0.863235513356578	0.476920303941655	0.425143366954346	0.868835266151375	0.731442989575886	1.2570368518675	0.846642402964761	0.930433751256938	0.812640799773598	0.959987538945605	1.17697978426515	0.596237737229331	0.953224144656884	0.454202154581326	0.712695401694724	1.16416729827309	0.858656442796354	1.18134658065934	0.79371984256828	0.957846734776182	1.38471171159329	0.692481064281136	0.696714863932703	0.608752515284864	0.748032131768945
"ENSG00000006607.13"	0.559971556853607	0.61135234672648	0.5980999428875	0.758779163497764	0.661935059701394	0.978905193827893	0.52931158557636	0.965502283619628	0.761883035492639	0.725768456257996	0.833790228613864	0.320856112563349	0.894710507547603	0.750550249081865	0.550900222152915	0.691911120787525	0.508280649205946	0.771277804711739	0.56209467335212	0.460737713229775	0.316614461073114	0.65693546948146	0.629086637216162	0.317741048403418	0.802931231077004	0.615434444782486	0.508532001129507	0.612604673286742	0.355835389358133	0.985942379472279	0.548323757283833	0.549313085561009	1.00618865834825	1.09741184709479	0.667445858150464	0.856350113700429	0.805862971055304	0.716098838344531	0.75123436611022	0.94855418494513	1.23118717491291	0.7452057647526	0.884340850697979	0.877611149467419	0.919744366372793	1.30802046359491	0.683651781246171	0.584614751964404	0.117601984577612	0.770493291081565	0.753274815177184	1.11571234729304	1.04786294828758	0.955053997667033	0.373492275964359	0.891387278713863	0.662673804183893	0.7175595915198	0.440451852440986	0.651851271724381
"ENSG00000091157.13"	0.784587162280844	0.349177949451965	0.623832382603349	0.502947453139358	0.372572355395799	0.802608407297922	0.36692261122696	0.886473414475773	0.44967382435095	0.686301674142271	0.76789712216686	0.497403471841443	0.537402686547011	0.712332229415161	0.619107929519467	0.445916739884745	0.796460835010819	0.915918479827506	0.844703306321058	0.63508259273863	0.422230898476718	0.786570908348245	0.570718849471928	0.528335061819845	0.441104740983639	0.239148303509324	0.831180563584049	0.769243655144241	0.299637362930821	1.21131361539651	1.03653838336921	1.08345562515643	0.820774537226362	1.07558296688213	0.765692916895432	0.764932446684363	0.968972872651812	0.848458333910286	0.864335748227973	0.964682193776669	1.02913091441727	0.570946248340208	0.799126933793796	0.939326944099034	0.888796621363883	1.01351561809417	0.890412648004192	1.0345374360846	0.667972108736791	0.768744231888263	1.04250744423653	1.16941603046942	0.856388452789814	0.609573795584317	1.10598091379302	0.916949792985958	1.03053104605831	0.920083393739713	0.391023464947926	0.441439989476674
"ENSG00000099783.11"	1.22155877739898	0.630585807715174	0.998219221421563	0.46040278972587	0.597556577633521	0.864061822176011	0.594308164380656	1.1871186485494	0.718032821099251	0.651263496773625	0.524657849362232	0.271978717824041	0.836972894740935	0.803510195731355	0.205378592157584	0.331963851627744	0.584078607405769	0.359791535720806	0.633815840625593	0.801886788589798	0.603591791585316	0.906474003164326	0.922697099009786	0.658808373012824	0.509361756962713	0.678072777099168	0.505442604486693	0.384991945329673	0.485157658405246	0.579792046185012	0.864478822579518	0.381571613634902	1.03633345992252	1.20107845318815	1.04100364310797	0.963023195479414	0.627026094123282	0.601721057897396	0.990242099052214	1.15093628442786	0.698950930694288	0.716658880893619	0.927918606445046	0.850919484325825	0.903479279692903	0.668428299986295	0.732986376767799	0.691043457648649	0.842108925501154	0.882796992063486	0.783007594083558	1.21183740064206	0.979825364344553	0.995746861713547	0.685508836159824	1.01423776205901	1.22537539089169	0.430990961680074	0.742253164166997	0.890328519490922
