"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"	"PC40"	"PC41"	"PC42"	"PC43"	"PC44"	"PC45"	"PC46"	"PC47"	"PC48"	"PC49"	"PC50"	"PC51"	"PC52"	"PC53"	"PC54"	"PC55"	"PC56"	"PC57"	"PC58"	"PC59"	"PC60"
"01D_A427_3"	1.63142837613962	0.845174958338265	-0.0962827650697738	0.486878433887123	-0.447551392918097	0.442117587366269	-0.763895158181292	0.194019156852064	-0.246702607123571	0.570517132100589	-0.216463576466448	0.0196181599427909	-0.0858121205553422	0.309186231480154	-0.0141105550951487	0.387768483838166	-0.161259854834428	0.583035219305928	-0.287217925502099	0.100222277013321	0.252496353861218	-0.287257206407795	0.174747761044228	0.158739150007593	0.128107054598041	-0.155655702858027	-0.0704574551415478	-0.144949858845479	0.0608540179363187	0.0379949792757102	0.287738684557265	-0.0601074089952786	-0.0165322890104496	-0.105025860140345	-0.0259184398413866	-0.262144743537235	0.152944364162342	0.187737879476268	-0.228084701053307	-0.0353469163909934	-0.0158547741259961	-0.0700130760573812	-0.0522903746523686	-0.0849816168207639	0.0944287279158984	0.105987653783381	0.0931458088415486	-0.0134521444684385	-0.00959130986387131	-0.0511327920222553	-0.0620611059296291	-0.0442343055205793	-0.0721787642033613	0.0292430245900532	0.0818960375344692	0.0249308808918537	0.0482466807714017	-0.0087504765151965	-0.0221610601127181	-1.28369537222284e-15
"02D_A549_3"	-0.606834150740139	0.471510603176859	-0.876406066675139	0.457211889173258	0.592063181644773	0.253929597014901	0.586672161128669	-0.142066515538214	0.54256429918501	-0.00168630382626473	0.644635066958874	-0.057715480986843	-0.369220039779171	0.17050808621554	0.25912017522747	-0.251485937649938	0.119419149607733	0.126128587021684	0.052795820655549	-0.069236914137734	0.091009140108226	-0.073217274415526	-0.162829357880368	0.0937779547072405	-0.134199938127103	0.0202900927887683	0.40935680342081	-0.31390501724124	-0.163519350330738	-0.0912708960801214	-0.0275891536593839	0.0696363285048553	0.273509977028376	0.0350828921283109	0.0288954245979651	-0.196670946518955	0.0354939245510481	-0.158126246007579	-0.148981692585582	0.00702009774062851	0.00352116948291107	0.0475017420746775	-0.00252355743584163	-0.158530059647792	-0.0399298590706392	-0.0640138652512775	-0.0059388955465584	-0.0711251206147939	-0.0611094140004283	0.145280817964339	-0.018792368843529	0.0723555551139962	-0.0662677432884297	0.0862136822707346	-0.0266824545445112	0.0135369895021619	-0.0185993815414142	0.0604419688456214	-0.0321070230424143	-1.1067535776732e-15
"03D_BEAS-2B_3"	2.32996379600022	0.10448028658554	0.244333117990847	0.0212838690346555	0.226058442055655	0.437096616142906	-0.224615337952983	-0.858046322389635	1.04864748981713	-0.714970731442389	0.392348860756016	-0.609596434981179	0.129054836455359	-0.176573077644751	0.46656311269489	0.0368073148405756	0.56764629974407	-0.118921257357269	-0.182479954208849	0.121203381341984	0.129110317007241	-0.226153201371864	0.190508421348287	0.0315754146515035	0.262484079498745	0.191562975164884	0.0730574205442576	0.429574967567439	0.356440216734854	0.00177601162328933	0.0643575664531103	0.101858165930281	0.0653995023448368	0.0729631579629876	0.00019230304251102	0.137803012639102	-0.188872488034488	0.0253906990938459	-0.101902828804348	0.0258582945286906	0.078587198276129	0.0984366585648962	-0.0384812400397525	0.0105243786199678	-0.0589026999929174	0.0496181716678555	-0.0251723126588569	-0.00370162384387394	0.0306486115009012	-0.0536262978323208	0.0396300457832849	-0.0429196585267989	-0.0501867758070907	0.0499501169780312	-0.00679348191309358	-0.0234942505122716	0.0441876798290582	0.00327694835340405	0.00189223758734154	-1.54130180840539e-15
"04D_Calu1_2"	-0.620039778904659	0.105674225514521	-0.569236657267297	-1.01883378528059	0.395212897525363	-0.579654626656722	0.61422193181237	-0.23886688866901	0.246056028691087	0.249276810287952	-0.0724740347598606	-0.113852218542217	-0.791301341409546	-0.295924740236994	-0.106366884133474	-0.18806292020694	0.306737256185614	0.346948327352335	-0.162755323913724	0.0880303444055155	0.0274358836215538	-0.121573270749449	-0.301046709272635	0.0171673328024711	-0.0725576801022078	0.120311238637322	-0.326888577969582	-0.239488528975912	0.163116398126195	0.047219164184525	0.0239226987417904	0.0368503392090559	-0.336798957351638	0.23157924180889	0.0538781762476287	0.0333880837884035	0.0664329443105974	-0.187127437457353	-0.059102983621241	0.061899932982689	0.037073360782447	-0.0151185556238655	-0.0134647954268601	-0.0125058846236984	0.0273675525794573	0.246859268668287	0.0148839237405955	0.212793824187053	0.0684327084827836	0.0109223889411225	-0.0163217470489261	-0.0319800766696131	0.0213819892928663	0.00590760050996824	-0.00421939525259769	-0.00931905590505693	-0.0212073172123493	0.0131614981613691	-0.00648464151020863	-2.72351585728359e-16
"05D_Calu3_3"	-1.10354425810374	-0.667930060012116	0.840229525099653	-0.86959888113986	-0.492779525425035	-0.39147888546694	0.573889076125399	0.114205475194802	-0.102955146319345	0.30938441819863	0.553050591057768	0.561739950192697	-0.511298353784098	-0.219272060136312	-0.070234450512877	0.31572292058929	0.15588328626518	-0.246424956929996	-0.0785337086366229	0.195576378323396	0.398976273644771	-0.615402186134139	0.249236226026366	0.00214971152199574	0.29114151471188	-0.0848675138265832	0.10431532657059	-0.1062480149273	-0.249881312441894	0.146293716743125	-0.0334775968180467	-0.0502971093496574	0.196697350284054	-0.00890508888816301	-0.087930406069732	-0.0527544794783539	-0.0247233906604926	-0.167556808204814	-0.00791492163681841	-0.0568583900283257	-0.107457081109993	0.11053054972129	0.085481372743624	0.188707330053871	0.134706679893453	-0.0558117418827605	-0.0545236706860048	-0.00911532830832411	0.0428167816180199	0.00174913572980645	0.0504482441412674	-0.032934198271096	0.00255220104525101	0.0475851913936001	0.00449058037637902	0.00762955464196819	0.015517473071458	-0.0466159501674297	0.0251597710952936	-9.16367676184748e-16
"06D_Calu6_3"	0.84716609256568	1.04965804567578	-0.710465465556837	0.295573888831283	0.00625463219296178	0.142869806593555	-0.456906239711809	-0.391583320451149	0.0467208294689006	0.132757855438607	0.322417367476728	0.0909645462470849	-0.19635576316362	-0.443215163751745	-0.0830315458606386	-0.185488202693611	0.153544497542979	-0.324614459240282	0.270665466886601	0.240031308077028	0.211696011370343	0.274659858701554	0.0523382586104023	0.034881997552507	0.00170017521662189	0.23051457596239	0.0291681978853722	0.147617633138581	-0.44242897382732	0.0239138658276335	0.461879124160095	0.0215282298499182	-0.178756991325554	-0.101366762554439	-0.0735755460567926	0.0950519709969953	0.0363202666334721	-0.221745169245328	-0.0474975700293725	-0.135713394974436	-0.211946406848657	-0.0506323263192782	-0.0600800758092804	-0.164443707901363	-0.0681344830978138	-0.0316344619342151	0.152399361253778	-0.0366730329096322	0.0188423031635098	0.00687544051658424	0.0203518084981698	-0.00826760373251822	0.0561054465215748	-0.0492576065958196	0.0403077423074661	-0.0319219311056991	-0.0178046560227743	-0.0197204350297228	0.0261455358657826	-1.46670869893839e-15
"07D_HCC2935_3"	-1.83530433489828	-1.80867664149636	1.41842499592764	-0.596161105101156	0.194996086996312	0.929622431087223	-0.413994111472593	0.148028392076506	0.359309327920649	0.403890429455055	0.67392872980327	-0.306681375107782	-0.265658680709925	0.0461531367751775	0.251158583808705	0.445514394609213	-0.143738705732348	0.158786875055814	0.132324710116611	0.00889562424014113	0.0817174372612045	0.39280465496249	-0.156069197056445	0.442517148503906	0.14497380095155	-0.145254766978536	0.0791448328552893	0.0304424774383449	-0.0757253087468857	0.175911623075021	0.0260718153117252	-0.118259025957973	-0.214241180366199	0.104287454528178	0.00751523747715347	0.092249460888274	-0.171113449156694	0.202780061046713	0.137082757640991	-0.0194329575174482	-0.176815070470436	-0.00204710646998297	0.0887619599392232	-0.0681195211563938	-0.0234896710995594	0.000424214935599306	-0.0611387114186394	-0.00797018300202764	0.045717613735567	0.0304247650579293	-0.0150106632526042	-0.0559538734805027	-0.0116133421912093	-0.0203200519353722	0.030720716854569	0.0345780993067899	-0.0330026599626312	0.0485979790809937	-0.0089606909756992	-5.34294830600857e-16
"08D_HCC4006_3"	-0.872291180895719	-1.07948854205705	-0.377751359204041	-1.15028687916732	-0.686508748177371	0.57628471946427	-0.0525931379727173	-0.133581540863502	0.107181652923904	0.179673697447191	0.333771249956717	0.361170283571086	-0.293845008165528	-0.205735793812424	0.104044928061294	-0.415512210781133	-0.275233950554271	0.0750316010072359	0.0156896913072884	0.0280892848272751	-0.19247004218528	0.139904069813487	0.133368991258491	-0.15731699213321	-0.180819136656377	0.0360234101325155	0.419047036419874	0.157576271582023	0.106118201314913	-0.283815309216724	-0.0835034152789116	0.11645962943803	-0.0658002667245965	-0.000921582505958552	-0.138211259744482	0.0362010473705295	0.115308624679519	0.209716328129856	-0.153831353132695	0.151507609924996	0.0869959182312864	-0.0349632724611874	-0.164669394579535	0.0507457778420698	0.142959251927726	0.0575551620662901	0.031720451463407	-0.0654150719477621	-0.0493695685513749	-0.0237946866333016	0.0526586633846916	-0.00551180048353779	0.145283290806923	0.054699548828618	0.0702824373088363	-0.0203623722558597	-0.00399340308019696	0.00928817177880603	0.014157192923733	-6.41847686111419e-16
"09D_HCC827_3"	-0.730825615682794	1.34070564526032	-0.742730889547423	-0.649598274738813	-0.322329211149945	-0.354868469700013	-0.123169653795865	-0.416208337142621	0.00280121003280067	-0.771538559968386	0.126289994227317	0.0968010465692126	0.185851444537122	-0.155126490559587	-0.119469494043445	-0.00303033456288604	0.096755631148364	0.00292359394950243	0.173730309042582	0.398939835290546	0.00321270895488825	0.354372155493608	-0.294003092906264	-0.0659617858428286	-0.0175925754086356	-0.196363908446545	0.0955029134414964	-0.105635869361094	0.291208504604949	0.107478837607881	0.143808069702948	-0.461197838277338	-0.0544057508610361	-0.39877365819638	-0.0517649790094979	0.0178428961734178	0.119108485654096	0.102019671738364	-0.0248268671800553	-0.0219795568433049	0.0367815589366144	0.287715136524993	0.0417236883064495	0.0213472393144712	0.124041164392395	-0.0947656424484567	-0.0608703645836548	0.0812586036748849	-0.0146110805127411	-0.030774020546565	-0.00673006082020411	0.0040895555126201	-0.03888099150858	0.0201942487951991	-0.00897502424370217	0.013909664700466	-0.0371667893848148	0.0104665488612658	0.0108371368334336	-9.33281230075522e-16
"10D_IMR-90_3"	3.86119723052202	-1.31465896419863	0.205107143460207	-0.671949872318488	-0.341286079669363	0.218115161335867	0.262050252209144	0.379925429897549	0.133141835590842	-0.508352693032836	-0.0639931200706812	-0.316372689306952	0.111655208613866	0.0339232524683234	-0.150840119164419	-0.329521272710037	0.00344088751666769	0.025200286361362	-0.111889424089938	0.225010739575603	-0.0209368919232728	-0.0180497299845499	-0.219838900266994	0.190364450753774	-0.117037083334324	0.0823374920058092	0.0427337692839592	-0.0886765019053523	-0.256488674782364	0.095172882636217	0.0607236847699247	0.012584472210965	0.048572344216843	-0.0396172354142443	0.109604006459786	0.099108715318634	0.0819362324463918	0.119951575419337	0.118953474104628	-0.0108779272279453	0.0249558099750414	-0.030626345746694	0.0288397381928954	-0.0169651511232917	0.00611637389451876	-0.0365053365910934	0.0119493920390705	0.0628591273627416	-0.0419633734225618	0.0507035995072561	0.0980013802943777	0.00826552365265049	0.0454440528233999	0.0350572832455886	-0.012203365006485	0.0815025834835219	-0.0268985732010325	-0.0783271484773693	-0.0814540387206141	-2.13804668414141e-15
