"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"	"PC40"	"PC41"	"PC42"	"PC43"	"PC44"	"PC45"	"PC46"	"PC47"	"PC48"	"PC49"	"PC50"	"PC51"	"PC52"	"PC53"	"PC54"	"PC55"	"PC56"	"PC57"	"PC58"	"PC59"	"PC60"
"01D_A427_3"	-2.64294236508206	2.57173792489711	-4.19329819920068	2.83010415296153	-2.1133367770227	-2.40891884604209	0.073623261618489	-0.895632216467021	0.192012113396963	-2.29512863961631	0.257301224299846	-0.371875638550731	3.31467582376213	-0.0404855346487323	1.20636920853546	-1.22746816708569	0.822421629182831	0.895133169058803	-1.22147452582729	-0.847863072952621	0.1988843253797	1.31336582758954	0.560771911247214	-1.07293593249569	-0.311098537693529	0.164131268796544	0.350040636575201	0.11897998240616	0.669060362248018	1.35237730605578	-1.702090630255	-1.03325195479039	0.264893353600019	0.348258327353074	1.10053720624646	0.56636814076726	-0.418780772390833	-0.757952241978177	-1.08169246653844	0.262287163438186	0.052360503401217	0.797654821523204	0.167032482823986	-0.18343996802187	-1.14189929513002	-0.496484148908475	-0.241583340218604	0.571332087866002	0.844414189538913	0.225892334751605	0.368580622265227	0.223241651608516	-0.48948297871123	-0.15185500582111	-0.147078031263157	0.0438502056124059	0.164686030528225	-0.29781594279911	0.0470719357139619	1.35308431126191e-15
"02D_A549_3"	1.24492332711522	4.63354789304391	1.38346795379282	-2.31713127954607	-1.4230424992133	-0.668642932787619	2.62917075192497	-1.76131286666875	-1.05627205906114	-0.213280959276257	-0.944346751584881	0.821724999510584	1.09513882032917	1.68038221898833	0.831822719224749	0.604037324635135	-2.80160795541357	-0.751675209622139	-1.14769898375226	-0.164095497702997	1.6310272011837	-0.260077381898386	-0.280406918676671	0.120225184147301	1.15924896692468	-0.85835070878139	0.773896938775887	0.620212210219198	-0.868619334023827	-0.534045140171614	0.402014996815535	-0.649902422939977	-0.292744439433653	-0.76408529108599	0.0322473438042865	-0.180669328579823	-0.34092470217462	-0.0825125451593738	1.15345928959432	-0.583571063226266	-0.748537173933736	1.62770044642959	0.266614710377457	0.487676600884386	-0.649479718720354	-0.539880660464828	-0.673808245064385	-0.32874347268336	-0.45326208924659	-0.0965657520113379	0.547260166580898	0.104675799824078	0.771702317871966	-0.0758657202676907	-0.463857866136396	-0.709519962068367	-0.110827319466192	0.591069973851068	0.0339575055179999	8.95117313604032e-16
"03D_BEAS-2B_3"	-7.22161292621786	-1.25741258150291	-0.24115648024553	-0.617380841044364	1.24986192769675	-0.169665623992875	-0.72303070403318	-0.287165962571149	-2.83072529151994	0.349015825379713	0.566454010905296	-1.53809236882432	0.0264148217162731	-0.248524658782284	-0.418209404489676	-1.942553576322	1.04134398764655	0.0302658485851497	-0.467952888011088	0.0376443433157528	0.441975461610043	-1.87218225789937	0.776890348774332	-0.0752749470502934	-0.250334049230293	0.887806101809195	-0.967060818474947	-0.148634600105054	0.331192358897188	-1.41932873262165	-1.28415216179485	-0.376396578992687	-0.599572428263516	-0.0788253703775784	-2.10062459332276	0.68100609656667	-1.18068054299197	1.56787161283345	0.649776888843331	0.853820673150902	0.853263180869555	1.3819840981698	0.444990339162047	0.79570661926944	0.00210375230367152	-0.0626283182360416	0.0775427141546107	-0.196352986610677	0.0197971018502256	0.247973831885568	0.075823257207764	-0.00823461323079799	0.0359634026822966	0.246707736529099	0.194617792516235	0.122642473599176	0.547731288382901	0.0161088022064847	0.119494827864404	3.46944695195361e-15
"04D_Calu1_2"	-4.20269620881584	-0.0956469896945443	2.00971393572567	-1.75138390252626	-1.80751420989767	1.84573721482756	0.851321867513262	-1.06325433963268	-2.57721904716006	-1.12365438002613	-1.27855761366742	-0.634239787793435	0.679837329636047	1.3599054930777	0.688259800490437	-1.33760602560368	-0.831011154064296	0.138187395707011	-0.65397953653452	0.429754463444792	-0.907150846863581	-0.525404598392172	-0.900554728458291	0.227821542596365	1.11602729842515	-0.429497521407394	0.601061128459345	-0.866188790768852	0.667010585843215	-0.0123107469975904	0.733054091023786	-0.532350492048372	-1.92355029306671	-0.919683915783095	-0.681279718899201	-0.765257277189027	1.11669878666425	-0.948735243202715	-0.733766016769744	-0.111872711027393	1.12733343798806	-0.544700117111712	-0.594269195810377	-0.609519126099636	0.0271080686992058	0.874170905558247	0.0479405155379763	0.219767117503889	-0.383445991742139	0.720079843795416	0.32189321700712	0.17453077811163	-0.385552896722041	-1.01876358246534	0.811529811202497	0.177852774897945	-0.205947388497541	-0.694482371751984	-0.0443795734572546	1.80411241501588e-15
"05D_Calu3_3"	2.10039421642612	-2.41898090496636	-0.130555070437826	-0.0143640574519314	1.26697128098614	-2.14641402772603	1.76023728905496	-0.176015154758461	-0.0739524074452337	-1.61927166296654	-2.75164359725699	0.946633045389625	-1.22184241233426	-1.5223828610583	-2.67144517626111	-0.481801255701908	-0.433014473269345	1.1932997338087	0.0858781196879316	-0.630948592890638	-1.14463255530804	1.50926344114606	1.36391220650539	-1.1513040004443	-0.426374948171987	0.355451666535826	0.104135585470902	0.506047604945954	1.62517320764334	-1.01837127148068	1.48157126629285	0.164792598352809	-1.43443750908614	1.35399136623936	-0.0174081423152876	-0.358209877488824	-0.168303627336166	-0.145270796543287	-0.263798390713952	-0.130118523948896	-0.0101712802215787	0.503131451469897	-0.951360881232755	0.861895718825499	-0.459396367262216	-0.789228342340269	0.577202311944455	-0.847001641652811	0.325915563109156	0.289197723278985	-0.372598823701628	0.231701814002502	0.350839960999318	-0.390006376046858	0.0620972261421661	-0.385041671101556	-0.188290243191289	0.0791102805336847	0.0237640197175824	2.58126853225349e-15
"06D_Calu6_3"	-2.99311114701876	1.28189545804827	-2.60496539386772	-0.777045165715725	-0.239133877550103	-1.58478422454152	-0.840373227043315	-0.0990928742155648	-0.49468125157168	-1.12410766210893	0.238749469294286	-2.87896311791425	0.871939501139682	1.78550907386767	-0.214611855705373	2.1288971399716	-1.27297940681579	-1.46999974146979	0.905287787873052	-1.780607271916	-0.0494196412929223	0.35613190666436	0.792991592139051	0.454276675539473	0.206403162006874	0.467384338810649	0.93718051486888	1.05011261239722	0.143861757802557	0.908036181161544	0.399521456891615	0.186747687663711	0.997813994196851	0.174662193885329	-0.286651656467356	-0.157610465130147	-0.199143474154672	0.0707234700984011	-0.24750034190036	1.1730460058355	-1.24955949125604	0.0830387555139507	-1.08519046001793	0.340392651291787	1.21189348935585	0.369119103805263	-0.313463718209478	-1.2291766123155	-0.24097039641334	0.141307594284538	-0.446620318846754	0.123095012436401	-0.0595946368306464	0.24763693155066	1.02830345041507	0.395976360358787	0.272528638289356	-0.508591209129354	0.0873673441492586	2.76514922070703e-15
"07D_HCC2935_3"	3.49303586264698	-5.46518018767547	2.3452704451929	3.00986820979552	-0.622551200009856	-0.645915090142681	2.58993989819625	0.201361046629949	-1.72424079223833	0.433954164195832	-0.771170491283486	-1.11472534083377	0.0243965646736675	-1.39265012750682	1.1433598808637	0.244291777050768	-0.951635758959759	-1.01223504733943	-0.0888060222191487	2.15324285339315	1.28299619911003	0.0539086286615049	0.822284208414261	0.889964406960669	0.859898922656893	2.18545675707446	0.78138462250345	0.0924181886419358	0.307105630609999	-0.83836802403324	-0.346058404569822	0.752171315708744	0.428030834340193	0.349603880498931	-0.461314032844927	-0.470903771378056	-0.471147687522426	-0.0915836324713832	-1.1481522524078	-0.192604908355861	-0.581503579428255	0.0999491359239649	0.153887299599898	-0.459031625858202	0.0680929862328697	-0.911150531710658	-0.061022223581847	0.32807897849386	-0.252912898844352	-1.00840639282434	0.630454076165656	-0.196666749534753	0.0127525130124446	0.136083759134933	-0.220510224897977	0.850869512943441	-0.704941183366109	-0.798372126606106	-0.017958892730236	4.66987559732956e-15
"08D_HCC4006_3"	0.776673693264304	-4.45719159452773	1.26610255703474	0.53436570500632	1.10147487358505	-2.20547831265395	0.0560764273733569	-0.395690737585785	-1.04600367208481	2.19638773670135	-2.49677954156153	0.363578079021395	0.895820895284418	-0.359868593762265	-0.215847122400292	1.67174846445216	-1.09321634628566	-0.470696348572482	1.58088509678924	-0.032269310711092	0.332775101161057	0.851610002556397	-0.0214333282295412	0.353549104573736	0.743642343862128	-0.559654265085301	0.0717202100587602	0.178615143248168	0.672298088270735	0.127557488015134	0.590551768766861	-0.777413253908904	0.424477353803354	-0.580998385809429	0.405690591405136	0.209002927715185	0.808806614709785	1.22857597607169	1.55363221777992	0.388516823760089	0.540463205113695	-0.173060274781984	0.607815567806252	0.117064124819853	-0.620208300348048	0.563016337428795	-0.32668326518429	0.668497460264699	1.20884959518678	0.838063897275185	-0.245196231133957	-0.0379876622892931	-1.14921027295587	0.562642717060235	-0.514284197857049	-0.136924724459301	0.25433006189898	-0.865993364038988	-0.0536280560882377	2.92127433354494e-15
"09D_HCC827_3"	-0.556521516279393	-2.62666178255867	-2.67888173385233	-3.37840016041864	0.0319174928253837	-0.824943688686676	-1.73079592354213	0.895716485608794	0.678724302179624	0.311907947022651	-0.511374365282951	1.04663170946562	0.845212957751568	1.26710709034398	-0.394994011413913	0.445298206879538	-0.00272059469104526	-0.253496187243321	0.0178279032371047	0.259031737804124	-0.849179474470979	1.17220612281557	0.281923969330092	-0.014242104173598	0.48210771672296	-0.806017698678339	-0.6337881176929	0.177719374791027	0.690803247720882	-1.32835103817685	-0.852145926027474	-0.115286271114869	0.368438102506504	-1.17810090720033	-0.89512365407707	0.318744654000404	-0.26752427075191	-1.32851907670352	-0.0155134167095922	-0.192084687409449	-0.127719993959574	-0.498288001239489	-0.930609977686393	0.942228841443209	0.176639753890615	-0.272179527706459	0.260942779931919	0.721767482487922	0.0551864160369714	-0.874159215417831	0.835222257832306	-2.05579681867456	-0.673503602565539	0.28521819685633	0.273318847717988	-0.146120307551343	-0.175705096527784	0.446061685193681	0.121352874201547	3.3584246494911e-15
"10D_IMR-90_3"	-9.60223464976034	-1.36189807753534	3.23634926374743	1.80779623417284	1.51033346572627	-0.328626842991955	-0.916640053792729	-0.0605436085498291	-2.60885996324433	1.34015777891566	2.50310144868743	0.439870809916384	-0.16152323369214	-0.991367997327351	-0.84876629243901	0.433183773626847	-0.217974892843165	-0.1845942036167	0.0480230353644727	-0.788608397266235	-0.285644450808645	0.879355270605914	0.158815755567575	-0.00709794711616168	-0.124646603818191	-0.591756426003013	0.323865503050923	0.295580076300126	-0.149011936744325	-0.339155592888466	0.218734883051565	-0.0854496269147002	0.369838095142849	-0.355116371482845	0.634463941735234	-0.131895141264075	-0.265818183669476	-0.840423253225846	-0.0911707751169082	-0.260703890829299	-0.321699816612372	0.225346271208462	-0.0933059050275668	-0.131755497872908	-0.150829780624971	-0.226756207683159	0.0445794761857705	0.203966266603385	-0.033655428496995	-0.12958883407975	-0.190143782641777	-0.0251858402465537	0.183994035683445	-0.0855039074834287	0.0914850090759824	0.0911065416161169	-0.00221223307617269	0.362121704178123	-1.30749290443721	3.05311331771918e-15
