"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"	"PC21"	"PC22"	"PC23"	"PC24"	"PC25"	"PC26"	"PC27"	"PC28"	"PC29"	"PC30"	"PC31"	"PC32"	"PC33"	"PC34"	"PC35"	"PC36"	"PC37"	"PC38"	"PC39"	"PC40"	"PC41"	"PC42"	"PC43"	"PC44"	"PC45"	"PC46"	"PC47"	"PC48"	"PC49"	"PC50"	"PC51"	"PC52"	"PC53"	"PC54"	"PC55"	"PC56"	"PC57"	"PC58"	"PC59"	"PC60"
"01D_A427_3"	-0.754022304256931	0.452208253796875	-0.372533491012333	0.867464649740526	-1.20004617878546	0.0726430367299114	-0.71894181740879	0.182848276464287	-0.509299685240659	0.0445900346660318	-0.123445811161558	0.127487511761629	-0.19307138600703	0.549729253568153	-0.284262101837291	0.45930358038363	-0.0304982611155457	-0.645584593130492	0.144105161318259	0.0416045030040345	-0.626293629356848	0.221248934757269	0.023315629701811	-0.321724495819126	-0.359272699893459	0.287577683069891	0.404392020633282	0.361249663963908	-0.0443177285651257	-0.198754712251043	-0.429154258459238	-0.0335856455449945	0.259260453525245	0.312677187397467	-0.0408842475223343	-0.247437489012834	-0.43291933042058	0.224425862126222	0.0985428799589706	0.138158371184101	0.137650057044225	-0.0827042999989873	-0.108645003492795	-0.215766704461883	0.164690949192809	0.0595070016211232	0.0451284486628401	0.0848978291813441	0.128802874877819	0.220456597351561	-0.124158238512173	-0.129577489229156	-0.0340525420731574	-0.0721490678084123	-0.0300371006565938	0.0374970512595834	0.0427092806674375	0.0332529537616908	-0.053072026502763	-2.46330733588707e-16
"02D_A549_3"	0.982135019857607	1.55748996612618	1.60045778646348	-0.246421737974086	-0.708509018827256	0.354284006360326	-0.080163901278866	0.380687179264638	0.142433567989195	-0.0585604397560328	-0.231190812063553	-0.236457393791486	0.00335428088127578	-0.0250834715586497	-0.164533430036866	-0.163543267072952	0.567490352320352	0.0678183825746359	-0.391583898228356	-0.231261150927533	0.102122531932095	0.579574798555611	-0.0942040743417522	-0.0406030499081697	-0.654085452375864	-0.291503775295389	0.208035103328093	-0.239496755163507	0.139317999424725	0.0746956205323518	0.196025160964706	-0.397378878157353	-0.107677843890348	-0.0398753683379321	0.00657373467483762	0.323272992849934	-0.000598603487767183	-0.00369293454395329	0.150527404817082	0.279709300822281	-0.107257803251682	0.0940075352761454	0.00478243076160032	0.14590363859043	0.0164601656274811	-0.124812183783481	0.0150478335165531	-0.132395268902158	0.039853654892378	0.102355126241217	-0.0335972385908678	0.187731112186105	-0.0843267563454878	-0.162188683329764	-0.113600843331275	0.19856970388959	0.117400119987583	-0.0261835143111592	0.101310252459622	-5.74627151417317e-16
"03D_BEAS-2B_3"	-2.36100946208758	-1.72571668024593	1.49922065702443	-0.32780592583415	-0.521233163492784	0.386875110336822	-0.378211440753612	-0.235545926286297	-0.380376521446452	0.170500382863837	-0.552610253106064	0.252714751802597	-0.089132478105879	0.438712316194016	0.532808207382067	0.261135617309172	0.197276581060319	-0.021805436786755	-0.171532424872978	0.317613540537541	-0.666893435408543	0.0838668385592588	0.52389651561845	0.482163159501224	0.328153331045639	-0.00723445687394731	-0.152393470041204	0.147755824943321	-0.114202751853443	-0.0598257310461509	0.17461201025872	-0.00756175470954475	-0.0526910165634729	-0.327240889384787	-0.0371776303162927	0.262868088230128	0.308549340697206	-0.42232410500891	-0.265190800756073	0.251432742368848	-0.124555446302998	-0.123380482287705	0.025781582815211	-0.29682034151418	-0.0586443458823728	0.128619957532932	0.0674568807830941	-0.0223888616268111	-3.9031395488256e-05	0.0386693049069879	-0.115416931772118	-0.155410396334056	0.0297487780129474	-0.0431633502191199	-0.0750952652062555	0.0591907419889955	-0.058876340897279	0.0400666197337348	0.0422417168254835	-5.41233724504764e-16
"04D_Calu1_2"	-0.819372906403336	0.0265914854960502	1.1211780313305	0.672565718363554	-0.113257266260783	0.581091870288623	0.267683645711021	0.791452001237622	-0.601226788746577	-0.402651668452886	-0.230728769240013	0.141989250966239	0.374011127526106	0.293083243100618	0.79930875598853	-0.690201107915853	-0.9503083303115	-0.491507425506803	0.277795456107511	-0.322700022315343	0.398843232369847	-0.409266405124986	-0.211400200176464	0.127318627709306	-0.0677999586791247	-0.0580303938510515	0.165400807800889	-0.246490255526712	0.145974469834273	-0.0757224384644954	0.161596035502072	-0.177740189835133	-0.166521224845024	0.147595424031169	0.197459584972177	-0.0781103441908756	-0.330222738465532	-0.175850514699627	-0.227060064897481	0.194202464362577	0.183993208434417	0.209865276148378	-0.226499190382771	0.177001175846479	0.0168604102683798	0.0642775438249617	0.171284149275094	-0.089307669750077	-0.0233709076896233	-0.057098288981988	-0.0129267688994682	-0.0154195522922374	0.0191098417702794	0.03981701859392	-0.12091859856724	-0.155749153930592	-0.0310609070643533	0.122815099021757	0.0168161143145812	-6.67868538251071e-16
"05D_Calu3_3"	2.56834468735863	1.24667723273075	-0.606619925359495	-0.600927041395377	-0.470384838942308	0.810188682792028	0.417934402979097	0.881487606076165	-0.536798520919322	-0.322974624426042	-0.187550370797612	-0.194184655410399	-0.100447140712059	0.965036379008419	0.731755531899891	-0.194803926228035	0.606212085930126	0.0999050558239295	0.484349693152545	0.590942530166543	-0.143211172723657	-0.0983909584229129	0.401277603447336	-0.356756369727362	-0.0900273589954435	0.378870083102499	-0.29056397741347	-0.136828471435081	0.140524620890038	0.175511395350187	-0.0311229972961963	-0.153245529949557	-0.271739074382625	-0.0314382580448252	0.0118367314678498	-0.115756310424967	-0.211140854809515	0.156399055688095	-0.0985625795241537	-0.0923000037699814	-0.1296901496224	0.0389110175447286	0.37248774882795	-0.204178834960222	-0.11269042947534	0.0180077628325187	-0.196397405504881	-0.143335325317632	-0.0320431476035141	-0.0808448906554928	0.0419139589752345	0.0390671640427588	-0.0123399932582583	0.171239194757998	0.0137770383162874	0.0300770674582017	0.0123016900130132	0.015720365435701	0.00530136440987898	-6.07153216591882e-17
"06D_Calu6_3"	0.503206276055124	-1.15263275903747	0.436088376534214	-0.533654560880886	-0.163875709620361	-0.477733772062783	-0.626309553824124	0.441687693737416	-0.041236207123799	-0.217929459419962	-0.427985938823953	-1.58204120683296	0.960630502450961	-0.042100061939434	-0.423815537502058	0.602727773033257	-0.280697383962004	-0.240660386461405	0.0608753483266068	0.126662794758355	-0.554857751927507	-0.519292105997643	-0.427266430469348	-0.326262229801263	0.349711244798376	0.198275194950341	-0.0997450030333285	0.337375806169003	0.00220050440570302	-0.167962539711671	0.209900144015515	-0.172398644097103	-0.252910492794745	-0.391267413094524	0.0515996259228688	0.0558947515562724	-0.104905396733582	0.0730856972384557	0.0363011120389309	-0.0783059187582786	0.0447988277598727	0.073828052418703	-0.131374067325287	-0.0543187911240373	0.164687028199191	-0.298665845170253	-0.0167517859393246	-0.10420221668427	-0.067055182490807	-0.14091281200943	0.100178036809388	0.0252576156496264	-0.0525283760987283	-0.0931587744698774	0.0789082432887035	0.0225128001153567	0.00302539540745272	0.00343504026535236	0.0168042679486384	-5.7072402359637e-16
"07D_HCC2935_3"	-0.724575511581955	-0.342545236517897	-1.49323260516525	-1.38190679461444	0.0982776510160078	0.723228697286568	-1.04120941072875	1.02125405144136	0.409720321461096	0.130326442778621	-0.453158873496104	0.174664277435892	-0.594926184420002	0.0465591795583828	0.0672858678385483	-0.237293732071279	-0.211746672637858	-0.0432850021129588	-0.399363171885931	-0.153286476489538	0.0528326119796324	-0.563293038757518	-0.871252794661032	0.696594708439791	-0.214963938696201	-0.254040648074797	0.145504162401814	0.286499081674118	0.369777466545315	0.0119444789057268	-0.0377243785317007	0.159998734384921	-0.164819127452616	-0.0350733967284287	-0.291701298400737	-0.0660798451018254	0.0735960092653435	0.152380028097085	0.0781524951784657	0.0339269938258132	-0.0167521742951792	-0.183855109089331	0.0824219278988168	-0.156969186622645	-0.160159903853042	0.0916684665173126	-0.129662769787357	0.0159031081894804	0.0937635730394083	-0.0495828846364442	-0.133087569207662	0.172310494361696	0.0106157629607369	-0.0700938878058807	-0.0203651545545687	-0.0294954676708578	-0.0437683318452793	0.0238993244095208	-0.0137806791749359	-5.7072402359637e-16
"08D_HCC4006_3"	-2.02102422345798	0.902043273054697	-0.340398863173078	-1.4702691850044	-0.109084776478033	0.643753644960881	-0.280639593928388	0.275328795884599	-0.0340892931725742	0.428765471364586	0.578099877066152	0.216452651627825	-0.242012576433401	-0.645295337225226	-0.0863794880015199	-0.265843135435194	-0.0689433012412681	0.572533985615594	-0.226150651349597	0.147179603896947	-0.13887434872648	-0.186309998450312	0.292389234939081	-0.741096913069459	-0.169189873001029	0.0649997947036948	0.0778865581848133	0.118285819382466	0.245683446425697	-0.0935194673139529	-0.362670225869226	-0.257860463528029	-0.162924649658797	-0.0459035931529686	0.145530851128049	-0.0397493964880259	0.0756796247874028	-0.0990499160981777	-0.444221945933061	0.217621934809781	-0.0989303207569269	-0.374846999275058	-0.17383389454547	0.266805663327013	0.150738059671116	-0.0323145915622569	-0.00837346277969587	-0.00950382342529782	-0.146623474003645	-0.0435861256084577	-0.111591569059598	-0.0487997846412774	0.0200370854512923	0.0116202451888161	0.160103194195522	-0.0625229440320221	0.096831979805284	-0.0108881639445922	-0.0133875601197566	-3.44342609981396e-16
"09D_HCC827_3"	0.122035258724062	-0.672542181427467	-0.5394600772429	0.196561780774028	0.754311815257292	0.381327142445857	0.660797361862931	-0.326788052777313	-0.222318622978787	0.000261563067451155	0.47457135005106	0.175713540095365	-0.451384563287508	-0.0689242814852495	0.416941116685199	0.039834471024649	0.469809948676006	-0.163217765923398	0.021295358388665	-0.337432035552618	0.0933070123880517	0.155314509041659	0.129342551485657	-0.137931895314436	-0.184661057337725	0.023038271907326	0.174581702596898	0.447639782612631	-0.202394681287935	-0.229145347691407	0.218717399353717	0.219984900986371	-0.0495820776714901	0.169529636659344	0.0780963028199706	-0.193722872781417	0.223428038761722	0.227786277277375	-0.162792648002779	0.123379646445429	-0.155266340601248	0.438178059956041	0.0653162208962123	-0.00264728836974902	0.141816171061517	-0.253545522748823	-0.072624048409752	-0.0705887107643823	-0.226533611787166	-0.0534629468386402	-0.214029528485965	0.0678422696964151	-0.014139126930693	-0.173347995310622	0.0338814778492064	0.0247896912804487	-0.230739263207373	0.0862340074200709	-0.0485534367126356	-6.956241138667e-16
"10D_IMR-90_3"	-2.41912553101335	-1.57054184712696	1.23838897659498	-0.41919232833495	-0.231604328367398	0.0108457815855344	-0.732496906924184	-0.259430226219136	-0.374690686004772	-0.382791209613133	-0.143519735653159	0.368920759198657	0.0964681725679067	-0.233921240966243	-0.341103809018736	-0.122031966797753	-0.229027450983058	0.461043206320574	0.23216087612251	0.145056776570348	-0.0744947744120504	0.276149435765887	0.271164035238396	-0.162972830973872	-0.246204317468353	-0.0315428316658014	-0.509464966975486	0.148932102187694	0.0526850142780423	0.243900275360882	-0.107773834248864	0.0789581787169649	0.222712259382639	0.228144256389324	0.0803616362931285	0.0264455334031347	-0.0702117688348944	0.179343861189513	-0.012858094103479	-0.0305253976172585	0.327160681306648	0.162318948958221	0.0288991770360742	-0.0284136971131234	-0.0941147645482014	0.00642437239867533	-0.227014342652306	0.0623151544532086	0.0488577326818414	0.121144082428224	0.13763942987396	0.276739554101874	0.134256964155881	-0.0149047494793047	0.164319014702702	-0.0776150969343575	-0.0677429152085424	0.127211760313238	0.125649351463283	-2.35922392732846e-16
