"13D_NCI-H1395_3"	"32D_NCI-H1944_3"	"23D_NCI-H1666_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"14D_NCI-H1435_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"26D_NCI-H1734_3"	"25D_NCI-H1703_2"	"52D_NCI-H460_2"	"20D_NCI-H1648_3"	"31D_NCI-H1838_3"	"35D_NCI-H2009_3"	"47D_NCI-H2347_3"	"40D_NCI-H2087_3"	"55D_NCI-H820_3"	"08D_HCC4006_3"	"43D_NCI-H2228_3"	"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"49D_NCI-H292_2"	"04D_Calu1_2"	"33D_NCI-H1975_3"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"59D_SK-LU-1_3"	"56D_NCI-H838_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"06D_Calu6_3"	"48D_NCI-H2405_3"	"27D_NCI-H1755_3"	"58D_RERF-LC-MS_3"	"29D_NCI-H1792_3"	"30D_NCI-H1793_3"	"37D_NCI-H2030_3"	"02D_A549_3"	"36D_NCI-H2023_3"	"57D_PC9_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"09D_HCC827_3"	"12D_NCI-H1373_3"	"05D_Calu3_3"	"24D_NCI-H1693_3"	"21D_NCI-H1650_3"	"39D_NCI-H2085_3"	"16D_NCI-H1563_3"	"18D_NCI-H1573_3"	"19D_NCI-H1623_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"50D_NCI-H3122_3"	"46D_NCI-H2342_3"	"17D_NCI-H1568_3"	"42D_NCI-H2126_3"
"ENSG00000123684.12"	0.874834843580563	1.11431684387088	0.8669586143329	1.29100560224431	0.616985508611762	0.449000028135988	0.306177027901574	0.621022144605798	0.777759848598413	1.04396207383349	0.279056003340656	0.638921204891049	0.705677539856168	0.16367260639004	0.814416567552541	0.348887435327367	0.499073787872419	0.23778138968036	0.69584232631841	0	0.109028437148572	0.218354465252215	0	0.495608704673347	0.21882586027361	0.56731085914926	0.103684882604562	0.402667522420621	1.22657351917016	0.644708169185238	0.486427167466579	0.58812803320558	0.416770977237047	0.248135022420573	0.901132139691746	0.659977106283008	0.526806256504277	0.657734082223992	1.1566240479416	0.616067814967533	1.08065736855607	1.33014004888004	0	0.404417692088398	0.132869053780585	0.194166372654289	0.509556550274939	0.740812437924791	0.63774976493324	1.06450413982518	1.14949943069544	1.27666400271305	1.36429420654677	1.69862469356021	0.837050671484967	0.994222201003613	0	0.489338706824431	1.11392888960247	1.42907989236534
"ENSG00000113448.18"	1.06348459315861	1.27623907047406	1.22020529141926	1.20629707777896	1.01742104756316	0.62671516421187	0.186632663333505	0.218850264744587	1.29392088210314	0.762928712286681	0.859201179180536	0	0.629639757665108	0.37235483474908	0.469153287676732	0.103841250024915	0	0.134964921289065	0.200599158027078	0.368706595030545	0.302041034625261	0.122758105764263	0.328049899094628	0.59215037902776	0	0	0	0.479172979419586	0.598252101594936	0.123793749908148	0.56642114370477	0.768527106060354	0.566731161946197	1.12608754124953	0.219009828185663	0.73733233283932	1.24166680465991	0.783732619437659	0.0969954564015238	0.821312882501052	1.47935061326649	1.23011336558016	0.692420939283115	0.420412263455644	0.278514074565103	0.102795533979645	0.487664322629404	0.21037613847966	0.572463897630941	0.566269207295571	1.2237210412454	1.11748350347782	0.954749068205674	1.73330059704631	1.57105818900755	0	0.925513508787388	1.25991493887284	1.27843268430167	1.78056782098215
"ENSG00000173482.16"	1.27498018287641	0.924110593503613	1.25480381929763	1.42787898500317	0.996122189223772	0	0.0989761516426074	0.0706230351061108	0.309637977787269	0.964639650365085	0.317741048403418	0.199620552464335	0.852004641858885	0	0.505442604486693	0	0.190920382903926	0	0.40259884919307	0.401385723828799	0.681407219150382	0.622776273141839	0.593250840405233	0.359791535720806	0.474110377716096	1.06525268954937	0.280690928397467	0	0	1.20256595506492	0.820534045625798	0.255486939225299	0.551341912400467	0.351248705020999	0	0.11329754883281	0.525022390737012	0.575566559352049	0.0897325031169825	1.2124471304275	1.31630049038169	1.29292952742559	0.963626394846854	0.715793248012823	0.446832927790451	0.194166372654289	0.193093461040607	1.06381295886262	0.648623669117113	1.27311302610911	1.04817625057337	1.72440930919573	1.57027250072409	1.0920998303167	1.57019824293997	0.770955834299489	0.196074768830097	0	0.722914251649858	1.25089261200075
"ENSG00000198879.11"	2.21106770141207	0.780915500512115	0	1.66172139310721	1.4469429670732	0.463389789890335	0.215230011737367	0.472112216519814	0.66984756997646	1.74387986276251	0	0.472598327729948	0.941677380259754	0.493497402749864	1.5476950641215	0	0	0.659302389692194	0.442152233309195	0.228214906902739	0.681420696917339	1.25017340326076	0.453256758474004	0.198550875226045	0.476139873981595	0.344252181979663	0.127520929974269	0.744189047370019	0.518990655337064	1.36378370086886	0.744379627844371	0.822201254097611	1.23254370995324	0.142537776473333	0.874386391651621	1.28480600461156	1.37301674515196	0.351254977607631	0.795263861782458	0.56379222834152	1.8271164323731	0.0849456541796814	0.106494504783581	0	0.0858669364254737	0	0.120227584442047	0.0878441817483273	0	0.592249453683942	0.128460231260462	1.59326323417322	1.96038363775797	1.85833823503961	1.71686635559468	1.31083863122295	1.40533809981897	0.190318253945681	0.641682934028858	1.78230614539285
"ENSG00000213468.5"	0.800359898310051	1.23894690622221	0.606322477467829	1.19406823551802	1.69963055856767	0.498336838201161	0	0	0.7802922824511	0.533892991133376	0.767963153584137	0.970811083187714	1.52743838286865	1.1634481965529	0.107059254448998	0.103841250024915	0	1.44963454038642	0.881726262267741	1.09095651678712	0.286994966902695	0	0	0	0.366267395498955	0.684238751119262	1.06418402213307	0.402667522420621	0.136632217356019	0.777111275638435	0.543429602774245	0.598337148882682	0.640105374865711	1.3203615568372	0.28216630958219	1.32499475886598	1.16491947224698	1.49434550791621	0.405086990620819	1.09878373086302	0.207706568057879	0.597174002696216	1.5465954986237	0	0	1.32002954602774	0.27388884684994	1.31373487276994	0	0.795304624833782	0.308044660301994	0.916547216427233	1.2890485979896	1.71265447157165	1.35359688335061	1.22968454074054	0	0	0.97207634866406	0.256934498085972
"ENSG00000183023.18"	0.282640464997718	0.190776777230657	0.209964185736095	0.171191397659896	0.4158189873573	0.242665450662035	0.41673410303135	0.232064820675261	0.365082829641759	1.34652774266545	0.740049536135223	0.73336989944402	0.557266212620327	1.09610978078665	0.107059254448998	0.351351945280266	0	0	0.767064243257486	0.106177104823849	0.166785149130986	1.58195964073971	1.79657985261462	1.76509562174148	1.0662945631136	0.223523067145134	0.127520929974269	2.00205446081748	0	2.03656494403129	0	1.64742210593624	1.76721067822219	0	0	1.55314241238828	0.626798609841594	1.12184689699754	0.298827922586006	0.480564071424322	0.366763773555952	0	0.867223214528883	0	0.234468666484447	1.06322165988604	0.214286178595065	0.117803947781689	1.83795177769243	1.59243547719752	1.35916425242114	0.873454140759044	0	0.641213799641181	1.03865283860091	0.269077404924626	0.744171420915598	0	0.399542979393769	0.103450394612508
"ENSG00000058091.16"	0.109098080247533	0.507287275391897	0.278312373440984	0.236728012711635	0.607058235676445	0.34896232070224	0.682293682013964	0.550289051058383	0.101670446563549	1.36830206237516	1.0275181216134	0.228581250679243	0	0.0978711174344896	0.465769529003751	0.477107011027133	0.682311904298472	0.271978717824041	0.929075240295336	0.487253648527647	0	0.959208329734076	0.703124992491762	0.522971716023139	1.01035345379422	0.902730686777006	0.856046239022674	0.302569697182863	0.40646526862622	1.10612718668487	1.11382227487419	0.713522402243705	0.22586412590098	1.35014650339417	0.273922192195508	1.25917191266688	0.756897815896751	1.46445103885398	0	0.702327545174004	0	0.444658518759448	0.158742288399634	1.43713627905936	0.790283713887027	0.683859137679217	0.440542573872786	1.47808753765806	1.54710923402165	1.21943500362981	1.85937894325209	0.922684283951857	0.407939024032613	0.633881976913076	0.295419107960498	1.67361753243123	0	0.726942755324807	0.781338720820169	0.167462790976218
"ENSG00000049192.14"	0.268748959997156	0.267228786813889	0.563453562104472	0.550414049977083	0.478078308924808	0.0675591914013452	0	0.269830460493166	0.306417603264738	0.373180136511531	0	0	0.738866302584171	0.51495053223349	1.0828652108445	0.728901784485112	1.03692317694855	0.443881475102786	0.301267991945555	0.239499493262821	0.166785149130986	1.6262059090145	1.69769851253712	1.51708388878656	0.918549182093959	1.52032080420702	1.11618704979315	0	0.598252101594936	0.845397040620844	0.891844928157421	1.38619198898622	0.652690672218924	0.957387903574478	0.210049706811122	1.85998524102513	1.23721821776054	1.40708604410309	0.265254010459637	0.954679640755929	0.128349438966503	0	0.387088168151496	1.28861618955912	0.343398410075567	1.40259926713323	0.466500379552268	0.385201700264269	0.688133700257554	0.434148965575511	1.74458056118098	0.718852936979101	0.445543894101796	0.904554685170107	0.161502310176221	0	0.562515986739723	0.0684653555129027	0.540454181448208	0
"ENSG00000117020.16"	0	1.42594473730176	0.441176092181383	0.255443988045066	0	0.182953437217464	0	0.466933913235452	1.36970453054351	1.37342409148586	0.509151900710428	1.39464920195815	0.645772111719314	0	0.81669374824252	0.746902144476184	0.630954600670217	0.271978717824041	0.550922330994821	0.596266125356974	0.4297474536332	1.31398148896905	0.817874985448945	1.07798180195677	0.222472253030951	1.64444973167116	0	0.765333892820044	0	1.14270513346787	1.23684614030953	1.09550464350103	1.44114184950385	1.20238747387258	1.15966510993526	1.30005233658232	1.2897346962401	0.712944929796608	0.0897325031169825	0.382569132787826	1.27715231436902	0.216983945428251	1.78322373176051	1.21698324736456	1.29224507556425	0.812286520518496	0.803217468332076	1.55568433786826	1.36731888984867	1.54495175138228	1.72683256173854	1.35824652007217	0	0.372307586752246	0.07500254126333	0.307027193033993	0	0	0.851353728906359	0.3626750827744
"ENSG00000148516.21"	0.129021534463378	0.919667568780559	0	0.093976734962101	0	0.0745471008740938	0	0.123067111010702	1.28391413575975	1.0705527584168	0.430260361440815	0.839274149025449	0	0.661251675361172	0.954447544133483	0.307412219564157	0.332542247526371	0	0.716541575838174	0.323375012330486	0.621704399587381	0.278836410552954	1.44488581757956	1.35647333434555	0.21882586027361	0.696370903829877	0.712750737458143	1.15257252532555	0.77023867901297	1.68211959101886	1.42028947975751	0.886515730387106	1.08072356627324	1.02256370884899	0.991854738624754	0.956164304038134	1.04028359032648	1.52344175488215	0.589746227063676	1.0410466365798	0.939662771561768	1.16419952549365	0	0.312012139150629	0.899547559293238	0.554529673532318	0.847244057494026	0.509856271725322	0.6482724923544	0.337178720203292	0.579746058709356	0.705709440367333	0.35059203926644	0	1.30669616053133	1.37820499348683	0	0.0684653555129027	0.349374338653486	0
