"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"54D_NCI-H522_3"	"01D_A427_3"	"06D_Calu6_3"	"53D_NCI-H520_2"	"45D_NCI-H23_3"	"11D_NCI-H1299_3"	"25D_NCI-H1703_2"	"16D_NCI-H1563_3"	"59D_SK-LU-1_3"	"37D_NCI-H2030_3"	"30D_NCI-H1793_3"	"43D_NCI-H2228_3"	"56D_NCI-H838_3"	"58D_RERF-LC-MS_3"	"27D_NCI-H1755_3"	"29D_NCI-H1792_3"	"04D_Calu1_2"	"12D_NCI-H1373_3"	"35D_NCI-H2009_3"	"05D_Calu3_3"	"48D_NCI-H2405_3"	"21D_NCI-H1650_3"	"08D_HCC4006_3"	"33D_NCI-H1975_3"	"44D_NCI-H2291_3"	"40D_NCI-H2087_3"	"09D_HCC827_3"	"20D_NCI-H1648_3"	"55D_NCI-H820_3"	"31D_NCI-H1838_3"	"47D_NCI-H2347_3"	"51D_NCI-H441_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"14D_NCI-H1435_3"	"26D_NCI-H1734_3"	"23D_NCI-H1666_3"	"18D_NCI-H1573_3"	"50D_NCI-H3122_3"	"17D_NCI-H1568_3"	"24D_NCI-H1693_3"	"39D_NCI-H2085_3"	"42D_NCI-H2126_3"	"46D_NCI-H2342_3"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"49D_NCI-H292_2"	"57D_PC9_3"	"52D_NCI-H460_2"	"02D_A549_3"	"22D_NCI-H1651_3"	"13D_NCI-H1395_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"19D_NCI-H1623_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"
"ENSG00000196139.13"	0.0379637184389519	0.0571958582514151	0.0509610836949417	0.77177337881468	0.486766999886804	0.934364719016003	2.3438980109569	0.8541805107416	0.744706355072738	0.444490898495288	2.45843657827481	2.31559883957034	2.18746929575172	2.98759930634277	2.49882980068522	1.80156627184996	1.83010289301076	2.10304332816051	2.28045931229122	1.15695595952642	0.994813931278764	1.26637517890552	2.07310474838655	1.91276462575673	0.710179675631183	0.772892226558306	1.50412907436816	0.652530406936098	1.24374450661794	0.932310724763328	1.83633462595621	1.12805127952107	0.842422843542934	0.905131579578766	0.845896985825595	0.730698801053672	1.12832563570017	1.5998558806639	0.947260630895352	1.46661296571834	2.34567250755224	1.03002167262089	0.734513303123644	0.668162080720391	0.57200655094331	1.19578256253321	2.06498222851265	0.788475243566783	1.00392946030532	0.780245085037311	2.36621309647033	2.40535103399984	2.91047855551346	2.2746387969361	1.11644646937733	2.84291412401869	2.6833286818525	2.46422074936601	2.84100869890836	2.71731375312096
"ENSG00000198074.9"	0.0340008562787628	0.314111502562467	0.273542671419843	0.768916293267759	0.555513261456099	1.30215761813157	1.02617046673296	1.28561537495377	1.02043884611693	0.663644361741935	1.67238366032035	1.76552214853117	1.2557003788575	2.68561523916516	2.28528370668977	1.26022633382015	1.68680440951321	2.29237781095526	2.41023608567859	1.29401178606228	1.50576497496615	1.00542398515875	1.72603423101169	1.44392256008428	0.915670648242045	1.13075419644336	1.20141039754105	0.647832320904794	0.954190915183553	1.22726425463875	2.40341740221067	1.37582427501931	1.32416950124768	1.04597248932764	0.991788186612285	0.709290840574085	1.04324521655253	0.175975753825601	0.758884847021266	1.09681781249034	2.17404184084346	1.11740741621415	1.02644014905422	0.667025939162447	0.927184669079198	1.48967696649742	1.27661063953471	0.871156205698677	2.05250058468613	0.892058378445614	2.90349103922126	3.02263310223786	3.43524839737457	1.28836884983639	1.69426460389774	3.24837262131371	3.29901880872658	2.82887941217457	3.27820921908789	3.42513416123981
"ENSG00000118785.13"	0.0140555173300381	0.0867339661034277	0.0490662466163208	0.497042801889954	0.590342417467088	0.736774698686047	1.85823879133319	0.7316254330072	1.49062132831131	0.605950158695433	1.19330894257724	2.92135464437056	2.67781099937877	2.95333609157031	2.06826675195898	0.847439988956749	2.13500044068982	2.23544193649771	2.25814882137171	0.391649814719886	0.828718929956715	0.981215627408103	2.82897268393358	2.84901730350095	0.773907843537304	1.09473077194889	1.27209918303998	0.473228387362426	0.30263601948688	0.801219817630253	1.08600675462321	1.64232877505358	0.779027053042422	0.731360042972069	0.619960164860764	0.751216591090311	1.10245887912619	0.0647591203193864	0.334223042949349	0.804766421038901	0.52760363047164	0.68148869120307	0.668108765206024	0.520292328308023	0.403978755811431	1.14297585754363	0.981014463366253	0.875441070758574	1.05730682497173	0.235204713438083	2.03080641484425	2.84167417555817	1.85417427937053	0.0835773167060317	0.861629777545811	1.61999829387461	3.00686085670574	2.58042144116715	3.26449328454734	2.69210399788697
"ENSG00000165092.12"	0	0.0490185507643711	0.0368550558106423	3.37820365134008	3.47726122527344	0.926815046156127	1.65347071420686	0.253039432924042	1.11880867069261	2.85274608964931	0.122882795844755	0.134434739310464	0.96553338290778	2.33043906091984	1.12240513387178	1.2710122406412	1.0623692443206	1.76648910900797	1.43898232803195	1.81876542464953	0.24031631581483	0.671086728852467	1.22375780102408	1.74512103808778	1.2184900326787	0.669753435567299	0.647206864206491	0.540035680976258	0.958916451649086	0.17995563111702	0.609630138337576	0.84673451489592	0.30343297972428	0.959109486123756	1.39259914612984	0.769965140238359	0.760069655735294	2.10268931175792	1.19812602888228	0.478523690438772	1.58535686741687	0.982909533996286	0.159917974466969	0.830260856701898	0.104018585037746	1.26613678403784	0.874634388678643	0.462217988578811	1.05640128959038	1.37231493563626	0.953629269970381	1.92819084649961	3.62437211099796	2.76033097549599	2.23943302853232	0.966595894684738	2.21228935559629	0.0757723420384661	2.43892321347965	3.03036934697052
"ENSG00000272398.5"	0.458482739566041	0.0474559463689407	0.0167453482654057	2.19466941375086	0.628931739562644	0.700011282403227	1.6535126733261	0.865207457311127	0.632554013502344	0.689257610063058	2.65698393059246	0.815490853211963	1.51359426521693	2.19313590993135	1.69148728747004	2.30390914962978	1.98893623078963	1.07483284599519	0.73392072885089	1.24875809836199	0.861681255039848	2.02671665060882	2.80835017604372	1.4451633219744	2.17555048226706	2.3116179237162	1.81196208902282	2.01325055370745	1.63891337586178	2.14411797850829	1.86994391879389	2.35257907176546	1.81176878358406	2.121157690897	1.62195844795924	2.28082723375574	2.76026997278502	1.43086287968198	2.33451637937817	2.10533195861898	1.47369904237902	2.14869542582375	1.70005850917778	2.58014572171856	2.34548816936676	2.40596265110037	3.00219600752783	1.66698725345708	1.51149545177191	2.83017969107004	1.7175641898897	2.10417815436466	2.35137929697734	1.44469765177678	2.0168636014211	2.12789573699738	1.83716912544028	1.69764368617765	1.15538930238363	1.98326399978749
"ENSG00000146674.14"	1.88013317815856	2.19528115393171	2.31974639736057	1.5702106492161	0.585141575575376	0.78262624637672	2.33953519830449	1.12756272303462	0.699028612917618	1.88684859545476	2.53489023419687	1.48880859285585	2.38381270557529	1.68733368778848	2.74622000009195	1.16609272357066	1.25508621884835	1.48703830017632	1.18561021125923	1.26386054822416	1.31216682837606	1.01958502725736	2.34409855906706	2.61864835356816	2.23429491597352	2.00217043985781	1.32858254614826	2.59147143956521	1.47602230309343	2.14762737718848	1.54284144987304	0.7998803257829	1.06996097187709	2.00453346824516	1.88764053012546	1.96569303984939	1.40849979888557	0.676772584681858	1.05264109081816	1.41408111514581	1.83363879391613	1.63843973025495	2.90364155314506	3.27957807983281	2.89228499439797	1.82659528235934	1.60463758556855	2.0584725341762	2.17910185855344	1.42334938504017	1.62347516992072	1.99557725522443	2.00956239403537	2.09872835352626	1.18393420367317	1.38856770763869	1.62435831893692	1.96810337965124	2.33119870349647	1.93459273848839
"ENSG00000277918.1"	0.976272657037195	1.679006630025	0.782848717874646	2.25674254264173	2.74209472710553	2.72699212592644	2.2130086199151	1.1957858491879	2.33010314096487	1.25363946344784	2.28003054581665	1.225390570882	2.71899076797024	2.04396579863852	1.12297377445962	1.43179900598983	2.57051186885902	2.27217714498623	1.14335572879073	2.03626532425278	1.02905868445644	0.982275335685365	2.32374229555173	1.33717122409414	2.27524495586056	2.07439484458417	1.51280810595314	1.25377486278155	1.38426718875674	2.46765761751886	1.18437960651809	1.17690831921835	1.05771992630579	1.34562987058336	1.41000885782891	2.35787940833292	1.15771169798131	2.40560354707675	2.90901134615203	2.4777746232016	2.77233341128156	3.17290557254762	1.06276372137859	2.07037982428985	1.08000618530424	2.00297759587934	2.33706336147645	2.52370538746581	2.62633611919069	2.0412961432042	2.3558069925859	2.99740061968105	1.31359727144166	2.21088575856128	1.27162771462321	0.935320545462328	1.25754365902135	2.53717468474116	3.22678977407767	2.39869132576504
"ENSG00000106541.11"	0	0	0	1.32193712903747	1.2877401956111	2.08416526686219	0.401181131745751	0.973115912690308	1.03236889021101	0.555251070729223	1.56420214536549	0.0134133174696231	0.742939157942655	0.899403975227569	1.85635784850125	0.878962030685609	1.41039474000512	0.95375740568069	0.853357534937238	0.15011745569015	1.22027927176739	0.893564494069011	2.08047995286368	0.829732874509382	1.33930625766918	2.49108503695323	1.19170784667486	1.54244291018155	1.92020343471819	1.39438957784007	1.64782340955461	0.294885041434435	1.6202841994235	1.35047816905321	1.5778778571296	2.43478940066877	2.29645682826957	1.94241687437747	1.43702081918392	1.23602505620263	2.72826182805156	2.43184709477558	1.00466572297515	1.55168157856177	0.764317768254787	2.84962484796202	2.11043731039962	2.82284847869911	1.44265449382513	0.802444096321674	1.50406014360972	2.53847035046112	2.55488762884393	2.57016808358409	3.2693207035875	3.18643550027649	2.39406898271926	2.55393217645373	1.78514699729525	2.64956024918174
"ENSG00000124107.5"	0.0194977837508941	0	0	0.847682169857619	1.16817966448862	0.529752010903607	0.504870765483384	0.726276008910913	0.591799827642946	0.668550988887875	3.30404237667956	1.07526058265219	0.737812435178218	1.62580436687817	2.27372004414734	2.63788083467104	1.84533756950975	0.814725011915092	0.694460041574446	0.477226060126733	0.79528819000463	0.854195321221833	2.22287496321806	1.90982709724296	2.99183550183391	1.27834075446682	1.42123248658601	1.27091360754299	1.5073505782934	1.13106514684298	1.80691458801204	1.14499237515215	0.792049362906907	0.574879308738909	1.50146916027686	1.96399336609923	2.20518716847086	1.42075703906743	0.962355457795408	3.02421237295532	2.21910320828857	2.03877659345353	1.74915482790614	1.01348975050318	1.17582302347569	2.06816479593003	2.4238697709154	2.04778618143085	1.95535116453166	2.04147063364695	2.42587317168106	1.31139863574294	1.52066135173125	1.01793934078239	1.55979710180969	2.31450325005208	2.54800199770881	2.00818719426009	2.11364814675046	2.80865782181769
"ENSG00000163220.10"	0	0	0	0.837936572056938	0.913130408927344	1.1045801277791	0.505088717829912	1.25437700779181	0.399031474880549	0.471470444155746	1.79551249362113	0.17558197189556	0.33533481768134	2.09832711222309	2.84254732859531	1.45618023818753	0.533943808062087	0.69973618434749	1.04821166275916	0.396762703977802	1.24250361941108	1.65238933354917	0.846912586687905	1.4304181564844	2.79433783025466	0.722595308853464	1.44937181004353	0.482046979403822	0.926997027068127	1.19831044528296	2.35828873090306	0.641428821258252	1.29949217974951	0.4867917622542	0.804609596304875	1.1949507455192	2.60077242716605	1.10899145555235	0.516134818248779	3.95714733924293	1.46985779659065	2.48282911569943	2.63730349705324	1.57490665582003	2.20409980774928	3.22991723720185	2.81503321365822	0.839523345986813	1.95670322447011	1.58612400227297	2.90031981194742	0.318945962226038	0.402535937649199	0.1309714848242	0.588175847770144	3.18650874141864	3.52175614261391	2.45011881424869	2.91511219533454	2.31966877584237
