"03D_BEAS-2B_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"25D_NCI-H1703_2"	"52D_NCI-H460_2"	"34D_NCI-H1993_3"	"38D_NCI-H2073_3"	"29D_NCI-H1792_3"	"30D_NCI-H1793_3"	"05D_Calu3_3"	"18D_NCI-H1573_3"	"19D_NCI-H1623_3"	"50D_NCI-H3122_3"	"44D_NCI-H2291_3"	"51D_NCI-H441_3"	"57D_PC9_3"	"23D_NCI-H1666_3"	"48D_NCI-H2405_3"	"42D_NCI-H2126_3"	"27D_NCI-H1755_3"	"58D_RERF-LC-MS_3"	"17D_NCI-H1568_3"	"46D_NCI-H2342_3"	"16D_NCI-H1563_3"	"24D_NCI-H1693_3"	"21D_NCI-H1650_3"	"39D_NCI-H2085_3"	"53D_NCI-H520_2"	"54D_NCI-H522_3"	"02D_A549_3"	"37D_NCI-H2030_3"	"15D_NCI-H1437_3"	"41D_NCI-H2122_3"	"32D_NCI-H1944_3"	"36D_NCI-H2023_3"	"04D_Calu1_2"	"33D_NCI-H1975_3"	"59D_SK-LU-1_3"	"09D_HCC827_3"	"12D_NCI-H1373_3"	"06D_Calu6_3"	"56D_NCI-H838_3"	"11D_NCI-H1299_3"	"45D_NCI-H23_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"01D_A427_3"	"22D_NCI-H1651_3"	"14D_NCI-H1435_3"	"31D_NCI-H1838_3"	"20D_NCI-H1648_3"	"26D_NCI-H1734_3"	"40D_NCI-H2087_3"	"55D_NCI-H820_3"	"43D_NCI-H2228_3"	"35D_NCI-H2009_3"	"47D_NCI-H2347_3"	"13D_NCI-H1395_3"	"08D_HCC4006_3"	"49D_NCI-H292_2"
"ENSG00000101639.18"	1.3804519148924	1.10293006088138	1.20374633552242	1.50558110318249	1.11335721906462	1.47300508936592	1.23260758147377	1.50991928818611	1.174779940233	1.81444107219862	1.66943831059922	1.46084591792977	1.22466695257152	1.1441413513257	1.21808506452895	1.45358607702409	1.32601735673753	1.4872828322513	1.42491719642223	1.64995467931037	1.33468087303163	1.35652208433426	1.17871879166464	1.24024397588266	1.3737098098034	1.57082885918622	1.51846739200784	1.28902715742479	1.6729695616007	1.32854975057013	1.01088497851299	1.42511642297349	1.25429970500703	1.52849533814586	1.22244167079377	1.62409449313082	1.19896314592931	1.27202846885216	1.23506247042043	1.39759447134125	1.41955694511756	1.36935449082613	1.62505304474213	1.76826396781498	1.19034930821623	1.11281479251898	1.78766217362814	1.23823840105069	1.28651071949659	1.49435623682734	1.14803351638738	0.923073258460979	0.94696294313656	0.732967033568143	1.02022109911625	1.25934579623515	1.27028718087054	1.53033390386848	0.892743409716864	1.21194033109271
"ENSG00000174891.12"	1.11764266985219	1.008212482955	0.935102347423097	1.22783727302744	1.13727115250151	1.48737680586826	1.30676473303845	1.54520707482655	1.50271966764667	1.92688496245391	1.58385144902746	1.46654462993588	1.28385490242838	1.36622850317669	1.49134773286135	1.36026519842731	0.991867035879359	1.43386879352412	1.42523084922144	1.55179218305928	1.41343568461383	1.59540980104362	1.71342814313452	1.05100411978201	1.52577533665567	1.58749401960729	1.81156322119728	1.80607516341574	1.52386552321026	1.53421732072936	1.26618552270275	1.30323690332588	1.28973832188893	1.34241366693289	1.37224080316604	1.37646897930882	1.25845141103931	1.09802402075018	1.36314695314392	1.27426673272404	1.35768900999167	1.46727142440154	1.25929836206265	1.58367081046203	1.12026961874852	1.13422369700376	1.52961755042625	1.28952793488205	1.30911064059449	1.10405010146692	1.06381920712311	1.24382122012921	1.05948042668879	1.18299722550733	1.0924231533253	1.00218094386317	1.25407708240415	0.997984198896639	0.917568056421388	1.13400097132497
"ENSG00000100749.7"	1.25382029684279	1.01088823848911	0.999242510247012	1.27318189083527	1.50148930918865	1.66595409949683	1.80126415091288	1.63100389722607	1.26177757370059	1.69845672594443	1.60593588584832	1.55672294799164	1.32784438638576	1.2457617152691	1.17397397951647	1.42357794080501	1.03267478888915	1.46929355253646	1.56944109083503	1.60765107330797	1.39845030274123	1.68733662172282	1.56994043657448	1.21444664903879	1.42682533994462	1.36420375722892	1.55813004206651	1.76687512922451	1.66371536334313	1.41749518847265	1.25067227452105	1.55494257497243	1.04079849135826	1.38583388589437	1.39607404275783	1.23234908222363	1.43625938097302	1.38314418664241	1.32592487105033	1.22304941779826	1.56647179615106	1.42318766914622	1.41548720411269	1.43248158724843	1.59212729217307	1.29558506136756	1.04151288023637	1.02240386134844	1.29373251618562	1.19374082167864	0.98134222986163	1.18767634939922	1.18139802459318	1.3884559975898	1.00625594006612	0.789184066299499	1.20668643635558	1.21985740614024	1.26578785111518	1.13355558643455
"ENSG00000183576.12"	1.11146713922279	1.08668040354437	1.01562796916989	1.18452889691715	0.776268067359051	1.47418234350756	1.51932235740921	1.51227754647929	1.19963843659557	1.52403392969774	1.7178054342459	1.45409478083343	1.20683730752944	0.968817417586356	1.37864714383769	1.29463851910665	1.02705476177994	1.34675626668111	1.294513649606	1.42163515030573	1.29581078513905	1.60910322630601	1.48660640429051	1.24547958024251	1.58727660211158	1.48056634239816	1.42760345716875	1.63197208399243	1.68675529662193	1.28721975236966	1.37465518524868	1.32634676236407	1.07947222799453	1.02954453000632	1.20554178805847	1.21306536017099	1.41195182463857	1.18493562294232	1.21393117499936	1.12767642871454	1.50132872706162	1.70126151928243	1.63911407899807	1.59895917803702	1.36007573849403	1.27432359584412	1.47864756761813	1.01807266068059	1.11544625602989	1.03049064372186	0.980256808792736	0.944935980409936	0.860727237192984	1.16755054118993	0.880756917019488	0.68983855454212	0.976249056383293	1.1247151322091	1.12968767541514	0.842095743049546
"ENSG00000184863.10"	0.921850386646837	0.951676655152041	1.00123069517126	0.758892102278337	0.953532379857989	1.59919150012119	1.16547477018784	1.59222227179401	0.987877861333065	1.67055825694868	1.47756814295893	1.6171003478432	1.24735873365076	1.23617697166895	1.76675397594319	1.47788808362775	1.26023790746277	1.50797577334124	1.17065902987129	1.64020248413492	1.3785389694872	1.44786321966995	1.51960541860762	0.978474072307705	0.911994308323525	1.74185456065035	1.75052090404668	1.31165503862342	1.42304623203812	1.43853589064013	0.980876749118995	1.16832944540414	1.31809139568852	1.62691556520971	1.27397348748963	1.67576178548801	0.838356548713128	1.35812922563411	1.468517521301	1.5330333769787	1.35956436905118	1.52260966431482	1.30706934394995	1.58760852540048	1.16474642069778	1.23133915826505	1.27271386397468	1.21033520267698	1.25798790108349	1.04144090511253	1.4800488843932	1.06900203468125	1.30790601190963	1.15792409747761	1.06767937067052	0.749284559149769	1.19362842474126	1.12700072456573	1.04802115516128	1.37152593805883
"ENSG00000114062.18"	0.377668119535209	0.635274428866665	0.865565334883945	1.1654136848568	0.876478596159409	1.56699093062346	1.41638193647174	1.7432253210397	1.50977566563319	1.28998661752374	1.73513820292299	1.91477394342322	1.77172048138022	1.29512366668635	1.29766292648587	1.12231809554687	1.2060814990864	1.33019387309539	0.826484115027962	1.3698060415919	1.28437561713256	1.26643906097461	1.25754754423442	1.52814489386541	1.42169169201452	1.67724294469654	1.62191444726522	1.18732296845069	1.52731802647615	1.15748540393345	1.31527785608121	1.43565696291494	1.39000968266086	1.32740376407277	1.01071606738916	1.44968678678127	1.11343106430596	1.42318688640563	1.34670352686691	1.57219332176288	1.59351175979081	1.57521990646136	1.2198359976324	1.39722678121405	1.49425524050789	1.46643987860991	1.1823137786157	1.32058404488834	1.55724928061583	1.26496600891561	1.21853997160337	1.087671996182	1.11869094854501	1.10149038224646	1.32181171060816	1.33866278692483	1.12941413843684	1.28472925006256	1.25945085991618	1.1078819685497
"ENSG00000154845.15"	1.20285852147307	1.30544362453915	1.30512920243864	1.06210415426974	1.07645644446589	1.5887011813384	1.4388490655087	1.29242005065068	1.22779788401529	1.66284620681019	1.68572974251238	1.24213532547207	1.39850262829569	1.37296857169935	1.57790887211657	1.52940254018418	1.73021047763976	1.35681309962756	1.86110108190396	1.55798170456178	1.23126769151157	1.40537138576453	1.45080621720288	1.27204625628496	1.14902700705154	1.60803750890437	1.67150137202547	0.606168161332911	1.47006142196795	1.34110099610565	1.16767099582358	1.57891847610375	1.28752404149976	1.44221170222795	1.56430645993131	1.37771674720885	1.2468317001817	1.09221524693885	1.29810135886732	1.18664073435279	1.36521656814854	1.36724854287794	1.36949670465705	1.52227196889036	1.23996206793067	1.31483091813601	1.71995107102053	1.48299502806437	1.21402303045326	1.29725522758397	1.38243909013108	1.05704435120572	1.25998708073229	0.74227515036097	1.07065283612678	1.29104998945685	1.31041258997381	1.28759150781549	1.1159549187159	1.32081664243104
"ENSG00000101745.16"	1.15381920620804	1.39554867921542	1.44729941974838	1.00814943178631	0.71252129935516	1.34173153941341	1.83625050478543	1.2854981903357	1.19341925288419	1.54427370833017	1.91913832094177	1.59119102140682	1.42132697903675	1.1917034453598	1.43671542810519	1.19803303573713	1.65630093551425	1.65976089868324	1.72177909365905	1.48685210427128	1.126295648108	1.23053972865302	1.65799357216534	1.47811638785112	1.75043420870838	1.71158199614894	1.66963085987821	0.864478822579518	1.89748269851053	1.25475439692103	1.39134288422962	1.37571647327792	1.06949002777303	1.39500291099225	1.17390362110626	1.60063127025905	1.16120384713284	1.27025586795063	1.18457817309357	1.35918599733915	1.24039981909096	1.21111983401963	1.43721245555562	1.51450938038689	1.22057811763562	1.84066987331544	1.82133735538728	1.22095699718891	1.23858561986587	1.35366156566238	1.53529031252917	1.50130136242769	1.13516364892561	0.924853373913086	1.10664422440656	1.25397045683782	1.06475067205928	1.41162323718195	0.965292331724971	1.06525279757078
"ENSG00000144036.15"	1.12804839824112	1.00515542773587	1.16481618427241	1.17084708574291	0.653618994982621	1.23672507266595	1.28717826819051	1.69686080083779	1.5448374669564	1.33467932897008	1.51391636011951	2.12173435536581	1.66089378315538	1.7370975249777	1.49750585608738	1.75107218973368	1.30985191523235	1.3478106599569	1.45062804274106	1.4409632013411	1.70302099197187	1.91988290442152	1.58218289012797	1.79002632238271	1.43136331999617	1.76212178769826	1.8390186937663	0.402667522420621	1.32266808417351	1.44906382488312	1.48474430937944	1.37426385639298	1.40689857745872	1.15164380043119	1.08464841964176	1.39100765399857	1.1947042585978	1.15097148836173	1.33812658773878	1.16418773858365	1.30552516863951	0.991067719710776	1.17008239799524	1.31375704110087	1.88823905766674	1.34753665842755	1.01776227720664	0.726407718732128	1.05958617337293	1.38935728087002	0.943228056069196	0.911884439481203	0.728593378147285	0.806738028617034	0.904889990409322	1.27103739842613	0.799868395938437	1.59859756621993	1.05851492522258	1.31994717553632
"ENSG00000100461.17"	0.809922586922755	1.0306275537281	1.02908851947264	1.0127788264774	0.661326612395732	1.26254316416263	1.42927809946227	1.3405550591999	1.0198347758569	1.15389578216366	1.55996104878826	1.59910263710299	1.62785041781942	1.28273289667338	1.35499559737424	1.34314554348138	1.00388865801607	1.2828117004015	1.05614465375669	1.0056513303421	1.24931624433169	1.54603369351152	1.62764287506334	1.73855349650355	1.25954674532552	0.918654590695746	1.31188732596524	1.20266984058903	1.32721120662171	1.43080462448683	1.18389980758538	1.41973245875087	1.17791519080114	0.906753382045204	1.13917576664287	1.15782305151179	1.43541062772913	1.52404124643351	1.4262571091417	1.16035856609421	1.33620569577204	0.66719944287706	1.12601941085334	1.23282675050484	1.3577321433755	1.34112883136595	0.730111616029667	1.47905862562235	1.20353135115283	1.12738226094191	1.13370191168704	1.247148646895	1.19058794728883	1.16673426731704	1.32508913252695	0.93643175038517	1.10499774581717	1.17188984052076	1.05862945653596	0.985421318508223
