"53D_NCI-H520_2"	"54D_NCI-H522_3"	"11D_NCI-H1299_3"	"06D_Calu6_3"	"01D_A427_3"	"45D_NCI-H23_3"	"03D_BEAS-2B_3"	"25D_NCI-H1703_2"	"37D_NCI-H2030_3"	"10D_IMR-90_3"	"60D_WI-38_3"	"46D_NCI-H2342_3"	"07D_HCC2935_3"	"28D_NCI-H1781_3"	"05D_Calu3_3"	"31D_NCI-H1838_3"	"08D_HCC4006_3"	"21D_NCI-H1650_3"	"44D_NCI-H2291_3"	"26D_NCI-H1734_3"	"14D_NCI-H1435_3"	"19D_NCI-H1623_3"	"27D_NCI-H1755_3"	"59D_SK-LU-1_3"	"32D_NCI-H1944_3"	"56D_NCI-H838_3"	"13D_NCI-H1395_3"	"16D_NCI-H1563_3"	"23D_NCI-H1666_3"	"49D_NCI-H292_2"	"09D_HCC827_3"	"57D_PC9_3"	"50D_NCI-H3122_3"	"18D_NCI-H1573_3"	"41D_NCI-H2122_3"	"17D_NCI-H1568_3"	"34D_NCI-H1993_3"	"42D_NCI-H2126_3"	"47D_NCI-H2347_3"	"51D_NCI-H441_3"	"04D_Calu1_2"	"12D_NCI-H1373_3"	"35D_NCI-H2009_3"	"30D_NCI-H1793_3"	"33D_NCI-H1975_3"	"40D_NCI-H2087_3"	"20D_NCI-H1648_3"	"55D_NCI-H820_3"	"48D_NCI-H2405_3"	"36D_NCI-H2023_3"	"38D_NCI-H2073_3"	"02D_A549_3"	"58D_RERF-LC-MS_3"	"15D_NCI-H1437_3"	"29D_NCI-H1792_3"	"43D_NCI-H2228_3"	"22D_NCI-H1651_3"	"24D_NCI-H1693_3"	"39D_NCI-H2085_3"	"52D_NCI-H460_2"
"ENSG00000075624.14"	2.82404264140889	2.90481260338214	2.80959896668414	3.18079899241317	2.89695173700906	3.18241108995425	2.88373812067277	2.96399962576045	3.18667339591458	3.14623664340612	3.21269129432078	2.77198985828225	3.1743360969482	3.11647857142378	3.19567643219425	3.1222736356852	3.17348344697337	3.01669670518554	3.36953940673511	3.0243598851696	2.6542478394585	2.74333070146133	2.95731255266689	2.86958431446818	2.70163350439207	3.12166162516051	2.58081331132058	2.79807478546848	2.71508986284716	3.15232507879533	2.99735003008331	3.11106584123543	2.81229412110678	2.53231056556202	2.79889609127387	2.91460728666601	2.78329633100351	2.91437124195228	3.21197208068465	2.85497464693852	2.94001406936541	2.78566670459057	3.02181704224874	2.93355843149342	3.19340701112886	3.02351817300322	2.94516434349676	2.97555153318866	2.95618432273252	2.90162465147515	2.80512502660832	3.03530256276242	3.08350983303677	3.01352854733674	2.99726343889506	3.03394065392144	3.00407399905543	3.05370872095466	3.23231286126579	2.91638226249197
"ENSG00000184009.10"	2.91350417899566	3.3473967958166	3.21426213828983	2.97823016828567	3.01615565893469	3.03032803868655	3.08270799694187	3.01203046756792	3.33614286800629	3.29123519278121	3.36559591716795	2.83476726784164	2.82270894053894	2.89278202492523	2.92094835254894	2.8882183921586	3.12807047930745	2.77615817110171	3.23880389147627	3.06181549737575	3.0138527396087	2.29534571075887	2.97200775785646	3.11314090903365	2.91938703941115	2.90140892508833	2.75485220399725	2.8319738685896	3.16585549888757	2.99423383478836	3.02633096371385	2.88411379524047	3.00671433008055	2.85607256996985	2.52039660968299	2.66253405667235	2.87220637371771	2.96551270579261	3.30019729996624	3.20225937955316	3.31095736624131	3.10847275448941	3.45742400793213	2.75068419719031	2.95893618497613	2.98072356346134	3.05712212668205	3.16349905819143	3.00201161338272	3.03735247981198	3.16924996225237	3.28595152189001	3.17116532202209	2.94409978343707	2.91825996496497	3.05670877096583	3.00376307611845	3.10176007078753	3.0781959954223	3.00019699681831
"ENSG00000278217.1"	2.68251265439505	3.27668214608354	3.02288408934126	2.58922864845338	2.81788459070382	2.68126613397108	2.25695396218938	2.98546492899305	2.21371179450738	3.17344017026762	3.16729815579447	3.10942732065986	3.24544509832624	3.07765259166727	3.09398719527358	3.08276863465038	3.06675663754795	3.04856471869016	2.94535654278997	3.02381247617241	2.9047932699948	3.20895191282406	3.10340508550658	3.24692509925673	2.80622409917665	3.01834241893144	3.10918959147174	3.29392044023276	2.92906866425491	2.86420577338201	2.70909069291168	2.29891381634131	3.08191227349912	2.82379998932576	2.5635477447659	3.08650904383741	2.89498115518128	3.21946176391643	2.9373749856337	3.06266969600191	2.82306719576046	2.95050075761528	2.72046856922724	2.85846280369978	3.15787218136392	3.44658936452874	3.05167130659339	2.94790434010004	3.06189314593212	2.80265360325451	3.11884386400634	2.78078257651888	2.77142211116452	3.01589417416699	2.50251508322887	2.98503676775323	2.89456059557509	3.12354712756386	2.69398177220265	2.49425216032514
"ENSG00000207445.1"	2.64439132303905	2.59716253134646	2.76758781741333	3.16538146039453	3.07042024254089	3.08011387296769	2.72309263894046	2.65560656423289	2.75896684005341	2.57393037683206	2.63271235595368	2.95267020138609	2.78567192120291	2.76668582580473	2.92155401476219	2.75268782061983	2.82716507221974	2.94097328690639	2.50198292311519	2.82884725039144	2.68714550134306	2.68386007002299	3.10948342992379	2.94207541561959	3.04046593056568	2.8168443297791	3.19361294446789	2.43990682044853	2.68760218100355	2.92731798955784	2.74750904306721	2.91578445091332	3.04529422529406	3.12351871304906	2.87455449151976	2.76759350373845	3.29225936379232	2.6545012916071	2.95332401647894	3.06198302258327	2.8251227166668	2.62009261232451	2.28927712847491	2.59799194291053	3.13014449910834	2.76876770377152	2.86822252829916	2.86584357350476	2.71007626434184	2.47880632074563	2.41961075252878	2.97228896724696	2.701011641878	2.80587742397649	2.98439804143235	2.7289064295645	2.60820786649517	2.56253963445774	2.93303556158519	2.88617166851185
"ENSG00000263934.4"	2.99027741079375	2.943279996929	3.28030728253034	3.2600127477743	3.43501015716654	3.5445090360653	2.90781740769808	3.24382289105402	3.06873120067062	2.58401182770997	2.78779626798764	2.81493607162911	2.60403416972155	2.43354125531118	3.02201591306406	3.04098383412333	3.05178071293678	2.93590648283592	2.95602139169298	2.94825957939115	2.68057514350899	2.62384373595732	2.94367004124396	3.03515682521254	2.78267560128792	3.16158537268998	3.28664902572441	2.52195322977258	2.8267796029351	2.90164367630698	2.63849760717179	3.45155237190328	3.1094004258622	3.08719003623833	3.29686407857066	2.53845057875669	3.00836240546099	2.51185964027374	2.85842466136075	2.92974008718275	2.95889315304647	2.9423417301216	3.17524395918985	3.02264950608675	3.41494837065834	2.86582920136293	3.00331452643384	3.51493006981498	2.34053415421115	2.91987890801647	2.81215170003143	3.06086609630123	2.9861928856166	2.90466980518872	3.06924140869755	2.7732683111491	2.7561540810281	2.90988668235791	3.09706398267819	3.38032660366813
"ENSG00000187653.11"	2.86339390267238	3.66545580509524	2.47104578043749	3.09590428626958	2.18675677841491	2.81221212246193	2.7200617398527	2.06791993707773	3.04304010262765	3.03552109357903	3.07348829303607	2.59656544593513	3.17207618482192	2.99349304366276	3.62771786625576	3.02754519334127	3.69855509677297	3.11166568745917	3.38273504086225	3.03884835918527	2.55714228168359	2.32743085776414	3.08975068167821	3.38909465913506	3.05028437797865	2.79115234619051	2.68424993150901	3.13802874277922	2.62674669237369	2.65581260401707	3.10691895344073	2.96542580049028	2.6258579030146	2.16097543713576	2.11565623728959	2.13330049088201	2.6971403425896	2.95088403929604	3.1037568823416	2.7103878699445	3.41321970425335	3.1731661800216	3.1699301553742	3.11132112377244	3.43626144786704	2.75433050830328	2.97059540201115	3.00142338268341	3.04478831216543	2.99215210233923	2.51696128899951	3.29746423166206	3.05088682646942	3.26414601203702	3.31879122970954	3.25287451670513	2.90078332738608	3.15847302191958	2.8435538250253	2.69800456873012
"ENSG00000197956.9"	2.57183793998788	1.7688840826373	1.75916234020517	2.96676195136296	3.05977664370295	2.91191755606886	2.3921570289303	2.17215599646653	3.16031566270689	2.97751717986282	3.06125221951887	1.60916090113053	3.23709776962266	2.82332247725611	3.22665876890429	2.64519619694366	3.44845723301328	3.02719802621371	3.57211864546813	2.61688067918897	3.03925036658211	2.98881473806264	2.79639499355974	2.85344658495515	2.74422680728791	2.77570833310872	3.48842352547639	3.37437998562473	3.2492506327207	2.60713102037969	2.98881588184358	2.79495838563834	3.69531467498232	2.9425711801111	3.16249842121829	3.05825820261149	3.51253107665635	2.92763481364888	3.38253944264357	3.21077484142906	2.85195592995229	3.22139822906944	3.3498595743669	3.13113262378571	3.42285029711964	2.92621305469307	2.88621142934133	2.64874796544501	2.98303775611056	2.72625526550551	3.02274068440298	3.09367220634868	2.81376702988287	3.39312906408831	3.12539243120283	3.29742165516012	2.6800934938405	1.722612793138	2.29722014626129	2.96353230668409
"ENSG00000187837.3"	2.93667044820341	2.78957379927931	2.91796301143933	2.80832117561175	2.72478173541578	2.79765802338617	2.92272135446937	2.77210282492291	3.03553133101384	2.41401878631275	2.32662626242688	2.95682217109875	2.92368513836739	2.79441887606639	2.76265030698905	2.6806554130773	2.58523296616084	2.72228210680214	2.83563055195831	2.74176529683511	2.98600239193891	2.77777730667525	2.77873096619228	2.38107305119774	2.5796007455356	2.84729390523724	2.16578706059001	2.76999224407155	2.47105520157782	2.85946449876444	2.69544457137397	2.97966958853884	3.03510013010707	2.89028271448279	2.7654977164081	2.75393573056268	2.86940772820079	2.93583698232506	2.65865706033824	2.74688200025898	2.9502202930322	2.91637823633575	2.80157211252193	2.54036965683834	2.54656368572976	2.75863429321998	2.49034193645133	2.58920758920855	2.58675170098731	2.74798899226858	2.5690921099613	2.98031414363091	3.10080076569088	2.93243812564834	2.91201548067758	2.99202319998604	2.58941779110483	2.68608184191101	3.08251119946484	3.01128088549971
"ENSG00000274267.1"	3.09375127880869	2.70571794671539	3.12459860518473	2.93744582680456	2.82920934496954	3.03222291145615	2.87713062743634	2.96487700488168	2.98130761454651	2.51647102890234	2.32868224695883	2.80876628548088	3.01682100745174	2.92124219376867	2.6434888065722	2.59985958233945	2.57514046352194	2.50340455621069	2.66485592665406	2.80229079058192	2.94265988835345	2.52573809830571	2.79897795554605	2.26878711477149	2.69751818761016	2.99003510003618	2.29595330799066	2.34219122188233	2.44398004921731	2.92176889033279	2.64461846035254	3.01533997850262	2.90289807939664	2.86268628682589	2.74509348465039	2.71609270122739	2.8205146025136	2.93710758177174	2.65481781710643	2.76445402971128	3.00464931721105	2.88127804094222	2.85456362788937	2.52561801787689	2.48851940285428	2.71535313477468	2.60000984555455	2.81156749764888	2.55790534492764	2.80028614200503	2.76444334892403	3.13111255655923	3.13336537085073	2.87839499720048	2.78240656116344	2.88891630240274	2.66937724141351	2.58988508410873	3.14279211488377	3.0723377338294
"ENSG00000180596.7"	2.84881774000687	2.65848230124125	2.89091928903492	2.70021713932583	2.62309812150757	2.85628924897553	2.52691429598988	2.66709479588727	2.80542072593483	2.34208634088024	2.16943405479716	2.77531394158342	2.72620113574475	2.75370050113123	2.48452803925735	2.39276826817311	2.32833137607842	2.44477137647952	2.69077436319279	2.78206593129755	2.75787271231692	2.50220995861848	2.43727034217863	2.25459738760233	2.47309980246617	2.80468526283227	2.06481607969801	2.47461028957487	2.46488484081436	2.78676927596435	2.65265115164521	2.83577363943875	2.88123955964116	2.74330931879205	2.66074893236292	2.60750029989488	2.67732378131616	2.79750336334904	2.65343603381577	2.76390615967308	2.80542355585116	2.92682579120564	2.85248593646447	2.35370295274662	2.2719904086722	2.5802823657742	2.56074885843816	2.69526258524761	2.48967946395329	2.64170548667098	2.66394314272781	2.88756205272494	2.89852100637035	2.83368981262113	2.58498437565506	2.78396151026778	2.46642441666757	2.64670995351711	3.06177912365563	2.77342466995897
